input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\A\Jalan1.csv,3083,2629,111,41,0.6177500060757719,0.0,A,1
E:\0.TA_Teguh\dataset3\A\Jalan2.csv,6582,5450,113,31,0.704103412137629,0.0,A,2
E:\0.TA_Teguh\dataset3\A\Jalan3.csv,6634,5895,119,34,0.6945532920761084,0.0,A,3
E:\0.TA_Teguh\dataset3\A\Jalan4.csv,2278,1630,96,53,0.44042449196037925,0.0,A,4
E:\0.TA_Teguh\dataset3\A\Jalan5.csv,2191,1154,127,82,0.34736929191554505,0.0,A,5
E:\0.TA_Teguh\dataset3\A\Jalan6.csv,3492,2128,127,74,0.40586996271166087,0.0,A,6
E:\0.TA_Teguh\dataset3\A\Jalan7.csv,4143,3166,118,53,0.5317824015032062,0.0,A,7
E:\0.TA_Teguh\dataset3\A\Jalan8.csv,2944,2789,74,24,0.6580642676445584,0.0,A,8
E:\0.TA_Teguh\dataset3\A\Jalan9.csv,2540,1947,123,67,0.4393395482255596,0.0,A,9
E:\0.TA_Teguh\dataset3\A\Jalan10.csv,4160,3622,131,59,0.5326647942604095,0.0,A,10
E:\0.TA_Teguh\dataset3\A\Jalan11.csv,5655,4526,128,59,0.5224425258818826,0.0,A,11
E:\0.TA_Teguh\dataset3\A\Jalan12.csv,5041,4761,107,21,0.7830479318572406,0.0,A,12
E:\0.TA_Teguh\dataset3\A\Jalan13.csv,5401,5029,126,29,0.7488715556577858,0.0,A,13
E:\0.TA_Teguh\dataset3\A\Jalan14.csv,2631,2178,98,31,0.6637268954302078,0.0,A,14
E:\0.TA_Teguh\dataset3\A\Jalan15.csv,9628,8659,283,100,0.6274495733912331,0.0,A,15
E:\0.TA_Teguh\dataset3\A\Jalan16.csv,9668,8907,251,69,0.7021391958806791,0.0,A,16
E:\0.TA_Teguh\dataset3\A\Jalan17.csv,10895,10370,202,21,0.8675134660639174,0.0,A,17
E:\0.TA_Teguh\dataset3\A\Jalan18.csv,12556,12123,167,10,0.9138089050130958,0.0,A,18
E:\0.TA_Teguh\dataset3\A\Jalan19.csv,10378,9743,235,41,0.8011184999376963,0.0,A,19
E:\0.TA_Teguh\dataset3\A\Jalan20.csv,8890,8307,197,49,0.7280905941864263,0.0,A,20
E:\0.TA_Teguh\dataset3\A\Jalan21.csv,8192,7778,161,33,0.7753946817838311,0.0,A,21
E:\0.TA_Teguh\dataset3\A\Jalan22.csv,9206,8891,132,13,0.8761446453773153,0.0,A,22
E:\0.TA_Teguh\dataset3\A\Jalan23.csv,14863,13185,494,158,0.6601246038622733,0.0,A,23
E:\0.TA_Teguh\dataset3\A\Jalan24.csv,22402,21290,456,73,0.8143056838555247,0.0,A,24
E:\0.TA_Teguh\dataset3\A\Jalan25.csv,2631,2389,88,18,0.7760575259011621,0.0,A,25
E:\0.TA_Teguh\dataset3\A\Jalan26.csv,5570,4872,101,27,0.7087687708435725,0.0,A,26
E:\0.TA_Teguh\dataset3\A\Jalan27.csv,5599,4781,96,30,0.6677513063782344,0.0,A,27
E:\0.TA_Teguh\dataset3\A\Jalan28.csv,1659,1317,83,46,0.4351110660437822,0.0,A,28
E:\0.TA_Teguh\dataset3\A\Jalan29.csv,2539,2365,62,20,0.6572699962776659,0.0,A,29
E:\0.TA_Teguh\dataset3\A\Jalan30.csv,3664,2858,89,33,0.6098566363036914,0.0,A,30
E:\0.TA_Teguh\dataset3\A\Jalan31.csv,2894,1851,97,44,0.5323756354297711,0.0,A,31
E:\0.TA_Teguh\dataset3\A\Jalan32.csv,1786,957,105,70,0.32472069636293066,0.0,A,32
E:\0.TA_Teguh\dataset3\A\Jalan33.csv,2567,2054,95,43,0.5307150076468712,0.0,A,33
E:\0.TA_Teguh\dataset3\A\Jalan34.csv,2958,2557,98,42,0.5539260521234907,0.0,A,34
E:\0.TA_Teguh\dataset3\A\Jalan35.csv,3601,2805,86,35,0.5769532943918941,0.0,A,35
E:\0.TA_Teguh\dataset3\A\Jalan36.csv,3556,3175,94,38,0.5786768592132426,0.0,A,36
E:\0.TA_Teguh\dataset3\A\Jalan37.csv,3261,2814,107,45,0.5653484868903592,0.0,A,37
E:\0.TA_Teguh\dataset3\A\Jalan38.csv,2659,2294,91,38,0.5675047966077854,0.0,A,38
E:\0.TA_Teguh\dataset3\A\Jalan39.csv,7500,6739,205,71,0.6347839308384303,0.0,A,39
E:\0.TA_Teguh\dataset3\A\Jalan40.csv,9134,8633,189,37,0.7786006021295305,0.0,A,40
E:\0.TA_Teguh\dataset3\A\Jalan41.csv,9418,9058,163,10,0.9132985617574639,0.0,A,41
E:\0.TA_Teguh\dataset3\A\Jalan42.csv,7015,6686,117,16,0.8402427114249096,0.0,A,42
E:\0.TA_Teguh\dataset3\A\Jalan43.csv,7256,6719,170,49,0.6912087047746432,0.0,A,43
E:\0.TA_Teguh\dataset3\A\Jalan44.csv,7058,6625,152,37,0.7344721122531906,0.0,A,44
E:\0.TA_Teguh\dataset3\A\Jalan45.csv,7368,6992,131,23,0.8006521918104594,0.0,A,45
E:\0.TA_Teguh\dataset3\A\Jalan46.csv,7359,7078,103,11,0.8687716106527346,0.0,A,46
E:\0.TA_Teguh\dataset3\A\Jalan47.csv,11785,10520,340,96,0.6973287453390213,0.0,A,47
E:\0.TA_Teguh\dataset3\A\Jalan48.csv,16057,15106,334,72,0.7621556767447483,0.0,A,48
E:\0.TA_Teguh\dataset3\A\Jalan49.csv,3743,3208,124,41,0.6473861116007813,0.0,A,49
E:\0.TA_Teguh\dataset3\A\Jalan50.csv,8854,7785,148,36,0.7335491987130803,0.0,A,50
E:\0.TA_Teguh\dataset3\A\Jalan51.csv,8392,6916,155,44,0.6979104994480878,0.0,A,51
E:\0.TA_Teguh\dataset3\A\Jalan52.csv,2588,2001,123,70,0.4208932238793972,0.0,A,52
E:\0.TA_Teguh\dataset3\A\Jalan53.csv,3682,3481,103,33,0.6595387519238077,0.0,A,53
