timestamp,frame,x,y,z,doppler,SNR,w_snr,d2,is_inlier
19:54:55.456662,6,-0.41578442,0.04034629,1.2920597,0.13916,6.12,0.612,10.260127,1
19:54:55.456662,6,-0.40941718,0.08488218,1.3668537,0.13916,6.8799996,0.68799996,5.0915318,1
19:54:55.456662,6,-0.45157924,0.08046487,1.477198,0.06972,6.64,0.664,1.7041408,1
19:54:55.456662,6,-0.46539065,0.06288099,1.5766826,0.06972,14.24,1.0,2.2099328,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,-0.45820817,0.08072593,1.5719011,0.06972,14.24,1.0,2.5171497,1
19:54:55.456662,6,0.46731457,0.06998603,1.5799296,0.06972,11.639999,1.0,1.100651,1
19:54:55.456662,6,0.45383754,0.101140514,1.5715817,0.06972,10.5199995,1.0,1.9100347,1
19:54:55.456662,6,0.48832345,0.061648514,1.6031628,0.06972,9.24,0.92399997,1.774403,1
19:54:55.456662,6,0.47771516,0.089650564,1.5956596,0.06972,8.12,0.812,1.1722553,1
19:54:55.456662,6,0.4631689,0.12147241,1.587133,0.06972,7.12,0.712,4.755531,1
19:54:55.456662,6,0.47554305,0.047213025,1.5860316,0.06972,12.88,1.0,3.257918,1
19:54:55.456662,6,0.4631689,0.12147241,1.587133,0.06972,7.12,0.712,4.755531,1
19:54:55.456662,6,0.46731457,0.06998603,1.5799296,0.06972,11.639999,1.0,1.100651,1
19:54:55.456662,6,-0.45157924,0.08046487,1.477198,0.06972,6.64,0.664,1.7041408,1
19:54:55.456662,6,0.47771516,0.089650564,1.5956596,0.06972,8.12,0.812,1.1722553,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,0.46731457,0.06998603,1.5799296,0.06972,11.639999,1.0,1.100651,1
19:54:55.456662,6,0.45383754,0.101140514,1.5715817,0.06972,10.5199995,1.0,1.9100347,1
19:54:55.456662,6,-0.45157924,0.08046487,1.477198,0.06972,6.64,0.664,1.7041408,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,-0.46539065,0.06288099,1.5766826,0.06972,14.24,1.0,2.2099328,1
19:54:55.456662,6,-0.40941718,0.08488218,1.3668537,0.13916,6.8799996,0.68799996,5.0915318,1
19:54:55.456662,6,0.45383754,0.101140514,1.5715817,0.06972,10.5199995,1.0,1.9100347,1
19:54:55.456662,6,-0.46539065,0.06288099,1.5766826,0.06972,14.24,1.0,2.2099328,1
19:54:55.456662,6,-0.41578442,0.04034629,1.2920597,0.13916,6.12,0.612,10.260127,1
19:54:55.456662,6,0.4631689,0.12147241,1.587133,0.06972,7.12,0.712,4.755531,1
19:54:55.456662,6,0.47554305,0.047213025,1.5860316,0.06972,12.88,1.0,3.257918,1
19:54:55.456662,6,0.47771516,0.089650564,1.5956596,0.06972,8.12,0.812,1.1722553,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,-0.46539065,0.06288099,1.5766826,0.06972,14.24,1.0,2.2099328,1
19:54:55.456662,6,-0.41578442,0.04034629,1.2920597,0.13916,6.12,0.612,10.260127,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,-0.45157924,0.08046487,1.477198,0.06972,6.64,0.664,1.7041408,1
19:54:55.456662,6,0.47554305,0.047213025,1.5860316,0.06972,12.88,1.0,3.257918,1
19:54:55.456662,6,0.47554305,0.047213025,1.5860316,0.06972,12.88,1.0,3.257918,1
19:54:55.456662,6,0.48832345,0.061648514,1.6031628,0.06972,9.24,0.92399997,1.774403,1
19:54:55.456662,6,-0.45820817,0.08072593,1.5719011,0.06972,14.24,1.0,2.5171497,1
19:54:55.456662,6,-0.45820817,0.08072593,1.5719011,0.06972,14.24,1.0,2.5171497,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,-0.41578442,0.04034629,1.2920597,0.13916,6.12,0.612,10.260127,1
19:54:55.456662,6,0.46731457,0.06998603,1.5799296,0.06972,11.639999,1.0,1.100651,1
19:54:55.456662,6,0.47554305,0.047213025,1.5860316,0.06972,12.88,1.0,3.257918,1
19:54:55.456662,6,0.4631689,0.12147241,1.587133,0.06972,7.12,0.712,4.755531,1
19:54:55.456662,6,0.48832345,0.061648514,1.6031628,0.06972,9.24,0.92399997,1.774403,1
19:54:55.456662,6,-0.46539065,0.06288099,1.5766826,0.06972,14.24,1.0,2.2099328,1
19:54:55.456662,6,0.48832345,0.061648514,1.6031628,0.06972,9.24,0.92399997,1.774403,1
19:54:55.456662,6,0.4631689,0.12147241,1.587133,0.06972,7.12,0.712,4.755531,1
19:54:55.456662,6,0.47554305,0.047213025,1.5860316,0.06972,12.88,1.0,3.257918,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,0.4631689,0.12147241,1.587133,0.06972,7.12,0.712,4.755531,1
19:54:55.456662,6,0.47554305,0.047213025,1.5860316,0.06972,12.88,1.0,3.257918,1
19:54:55.456662,6,-0.45820817,0.08072593,1.5719011,0.06972,14.24,1.0,2.5171497,1
19:54:55.456662,6,0.47771516,0.089650564,1.5956596,0.06972,8.12,0.812,1.1722553,1
19:54:55.456662,6,0.46731457,0.06998603,1.5799296,0.06972,11.639999,1.0,1.100651,1
19:54:55.456662,6,0.47554305,0.047213025,1.5860316,0.06972,12.88,1.0,3.257918,1
19:54:55.456662,6,0.47554305,0.047213025,1.5860316,0.06972,12.88,1.0,3.257918,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,0.46731457,0.06998603,1.5799296,0.06972,11.639999,1.0,1.100651,1
19:54:55.456662,6,0.45383754,0.101140514,1.5715817,0.06972,10.5199995,1.0,1.9100347,1
19:54:55.456662,6,-0.4718286,0.04477289,1.5815346,0.06972,13.759999,1.0,3.3243933,1
19:54:55.456662,6,0.4631689,0.12147241,1.587133,0.06972,7.12,0.712,4.755531,1
19:54:55.456662,6,-0.45820817,0.08072593,1.5719011,0.06972,14.24,1.0,2.5171497,1
19:54:55.513795,7,-0.43386334,0.07964936,1.5470556,0.13916,24.0,1.0,0.4501446,1
19:54:55.513795,7,-0.41781175,0.12942368,1.3040353,-4.1748,5.24,0.524,0.8086789,1
19:54:55.513795,7,-0.44269893,0.0977433,1.4725683,0.13916,19.88,1.0,0.44965598,1
19:54:55.513795,7,-0.4586714,0.123798616,1.4920485,0.13916,22.88,1.0,2.6367307,1
19:54:55.513795,7,-0.41465604,0.11655658,1.5371662,0.13916,15.24,1.0,2.4835362,1
19:54:55.513795,7,-0.42143965,0.10444157,1.5404125,0.13916,18.119999,1.0,1.3247486,1
19:54:55.513795,7,-0.42784402,0.092135474,1.5437099,0.13916,21.24,1.0,0.63955706,1
19:54:55.513795,7,-0.43949223,0.06699446,1.5504464,0.13916,25.76,1.0,0.7771922,1
19:54:55.513795,7,-0.43899024,0.10972239,1.3909432,0.13916,9.5199995,0.95199996,0.43228868,1
19:54:55.513795,7,-0.4014399,0.0962396,1.6084071,0.13916,6.7599998,0.676,1.5171546,1
19:54:55.513795,7,-0.45255634,0.032509953,1.5596865,0.13916,25.119999,1.0,4.3140244,1
19:54:55.513795,7,0.45108008,0.03687422,1.5585171,0.13916,23.0,1.0,4.8359485,1
19:54:55.513795,7,-0.46539065,0.06288099,1.5766826,1.46132,20.359999,1.0,0.976509,1
19:54:55.513795,7,-0.4718286,0.04477289,1.5815346,1.46132,17.64,1.0,2.410259,1
19:54:55.513795,7,0.47028953,0.049323007,1.5803155,1.46132,15.12,1.0,3.748138,1
19:54:55.513795,7,0.4618918,0.07183815,1.5742825,1.46132,12.88,1.0,3.3073695,1
19:54:55.513795,7,0.42056462,0.06298466,1.6219532,0.13916,5.0,0.5,2.9020898,1
19:54:55.513795,7,0.4482007,0.10261858,1.5660349,1.46132,11.0,1.0,5.3061123,1
19:54:55.513795,7,-0.44638133,0.04987841,1.5550326,0.13916,26.119999,1.0,2.0493865,1
19:54:55.513795,7,-0.42784402,0.092135474,1.5437099,0.13916,21.24,1.0,0.63955706,1
19:54:55.513795,7,-0.44638133,0.04987841,1.5550326,0.13916,26.119999,1.0,2.0493865,1
19:54:55.513795,7,-0.42784402,0.092135474,1.5437099,0.13916,21.24,1.0,0.63955706,1
19:54:55.513795,7,-0.42784402,0.092135474,1.5437099,0.13916,21.24,1.0,0.63955706,1
19:54:55.513795,7,0.4482007,0.10261858,1.5660349,1.46132,11.0,1.0,5.3061123,1
19:54:55.513795,7,-0.45255634,0.032509953,1.5596865,0.13916,25.119999,1.0,4.3140244,1
19:54:55.513795,7,-0.43899024,0.10972239,1.3909432,0.13916,9.5199995,0.95199996,0.43228868,1
19:54:55.513795,7,0.4618918,0.07183815,1.5742825,1.46132,12.88,1.0,3.3073695,1
19:54:55.513795,7,-0.41781175,0.12942368,1.3040353,-4.1748,5.24,0.524,0.8086789,1
19:54:55.513795,7,0.4482007,0.10261858,1.5660349,1.46132,11.0,1.0,5.3061123,1
19:54:55.513795,7,-0.4586714,0.123798616,1.4920485,0.13916,22.88,1.0,2.6367307,1
19:54:55.513795,7,-0.42143965,0.10444157,1.5404125,0.13916,18.119999,1.0,1.3247486,1
19:54:55.513795,7,0.47028953,0.049323007,1.5803155,1.46132,15.12,1.0,3.748138,1
19:54:55.513795,7,-0.43899024,0.10972239,1.3909432,0.13916,9.5199995,0.95199996,0.43228868,1
19:54:55.513795,7,-0.42784402,0.092135474,1.5437099,0.13916,21.24,1.0,0.63955706,1
19:54:55.513795,7,-0.4586714,0.123798616,1.4920485,0.13916,22.88,1.0,2.6367307,1
19:54:55.513795,7,-0.41465604,0.11655658,1.5371662,0.13916,15.24,1.0,2.4835362,1
19:54:55.513795,7,0.4482007,0.10261858,1.5660349,1.46132,11.0,1.0,5.3061123,1
19:54:55.513795,7,0.42056462,0.06298466,1.6219532,0.13916,5.0,0.5,2.9020898,1
19:54:55.513795,7,-0.45255634,0.032509953,1.5596865,0.13916,25.119999,1.0,4.3140244,1
19:54:55.513795,7,0.47028953,0.049323007,1.5803155,1.46132,15.12,1.0,3.748138,1
