input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\H\Jalan1.csv,5517,5059,127,23,0.802337332369662,0.0,H,1
E:\0.TA_Teguh\dataset3\H\Jalan2.csv,8201,7540,133,16,0.8575376601859762,0.0,H,2
E:\0.TA_Teguh\dataset3\H\Jalan3.csv,7467,6629,128,30,0.7459452896093288,0.0,H,3
E:\0.TA_Teguh\dataset3\H\Jalan4.csv,940,687,103,40,0.6056384208596632,0.0,H,4
E:\0.TA_Teguh\dataset3\H\Jalan5.csv,2297,1288,114,38,0.6555320645946369,0.0,H,5
E:\0.TA_Teguh\dataset3\H\Jalan6.csv,3537,2584,107,20,0.792003261073182,0.0,H,6
E:\0.TA_Teguh\dataset3\H\Jalan7.csv,3774,3072,99,21,0.7693243428930631,0.0,H,7
E:\0.TA_Teguh\dataset3\H\Jalan8.csv,3667,3424,83,5,0.920574204348655,0.0,H,8
E:\0.TA_Teguh\dataset3\H\Jalan9.csv,6024,4898,96,16,0.8086813923413573,0.0,H,9
E:\0.TA_Teguh\dataset3\H\Jalan10.csv,3179,2690,125,46,0.615518750387064,0.0,H,10
E:\0.TA_Teguh\dataset3\H\Jalan11.csv,4296,3702,116,32,0.7056080132441311,0.0,H,11
E:\0.TA_Teguh\dataset3\H\Jalan12.csv,4796,4454,119,18,0.8261166814312466,0.0,H,12
E:\0.TA_Teguh\dataset3\H\Jalan13.csv,6614,5867,131,32,0.7420006503756126,0.0,H,13
E:\0.TA_Teguh\dataset3\H\Jalan14.csv,2893,2619,105,18,0.8105563057902794,0.0,H,14
E:\0.TA_Teguh\dataset3\H\Jalan15.csv,10615,9578,311,49,0.8229402413085406,0.0,H,15
E:\0.TA_Teguh\dataset3\H\Jalan16.csv,10490,9793,292,39,0.8472075834736186,0.0,H,16
E:\0.TA_Teguh\dataset3\H\Jalan17.csv,11943,11407,225,10,0.9312233011717409,0.0,H,17
E:\0.TA_Teguh\dataset3\H\Jalan18.csv,10330,9880,192,3,0.9542538541742798,0.0,H,18
E:\0.TA_Teguh\dataset3\H\Jalan19.csv,8932,8109,260,37,0.8393717548487332,0.0,H,19
E:\0.TA_Teguh\dataset3\H\Jalan20.csv,9999,9323,250,23,0.8837365391602577,0.0,H,20
E:\0.TA_Teguh\dataset3\H\Jalan21.csv,10087,9628,218,10,0.9286247735289266,0.0,H,21
E:\0.TA_Teguh\dataset3\H\Jalan22.csv,10230,9727,191,7,0.9359818275967857,0.0,H,22
E:\0.TA_Teguh\dataset3\H\Jalan23.csv,19349,17494,465,44,0.8843322331171365,0.0,H,23
E:\0.TA_Teguh\dataset3\H\Jalan24.csv,21503,20535,417,39,0.8853010431559203,0.0,H,24
E:\0.TA_Teguh\dataset3\H\Jalan25.csv,1808,1706,55,4,0.9134007748593814,0.0,H,25
E:\0.TA_Teguh\dataset3\H\Jalan26.csv,2018,1849,65,13,0.7806294813686017,0.0,H,26
E:\0.TA_Teguh\dataset3\H\Jalan27.csv,3788,3525,62,5,0.8919373636055693,0.0,H,27
E:\0.TA_Teguh\dataset3\H\Jalan28.csv,478,332,62,30,0.5092665306514027,0.0,H,28
E:\0.TA_Teguh\dataset3\H\Jalan29.csv,1171,726,70,24,0.6513723740157563,0.0,H,29
E:\0.TA_Teguh\dataset3\H\Jalan30.csv,1985,1517,71,17,0.7357709844064855,0.0,H,30
E:\0.TA_Teguh\dataset3\H\Jalan31.csv,2461,2096,67,16,0.7408952772166875,0.0,H,31
E:\0.TA_Teguh\dataset3\H\Jalan32.csv,2102,1997,58,11,0.7937129212426682,0.0,H,32
E:\0.TA_Teguh\dataset3\H\Jalan33.csv,2919,2454,63,14,0.7545401049019318,0.0,H,33
E:\0.TA_Teguh\dataset3\H\Jalan34.csv,1702,1498,72,25,0.6395364894369542,0.0,H,34
E:\0.TA_Teguh\dataset3\H\Jalan35.csv,3105,2500,86,27,0.6710392676132849,0.0,H,35
E:\0.TA_Teguh\dataset3\H\Jalan36.csv,2483,2097,93,29,0.6763890352393609,0.0,H,36
E:\0.TA_Teguh\dataset3\H\Jalan37.csv,4063,3626,91,19,0.7717998272031824,0.0,H,37
E:\0.TA_Teguh\dataset3\H\Jalan38.csv,2524,2315,78,19,0.7378302600353462,0.0,H,38
E:\0.TA_Teguh\dataset3\H\Jalan39.csv,6487,5766,206,36,0.8082485992181501,0.0,H,39
E:\0.TA_Teguh\dataset3\H\Jalan40.csv,6731,6225,190,26,0.8455493206935578,0.0,H,40
E:\0.TA_Teguh\dataset3\H\Jalan41.csv,8745,8395,182,3,0.9562734923022181,0.0,H,41
