subject,file,N_target,kind,frames,shape_p50_diff_mean,shape_p90_diff_mean,centroid_drift_mean,nn_p95_mean,unique_ratio_mean,max_dup_p95,jitter_base,jitter_fps,jitter_wrs
A,Jalan1.csv,48,fps_overall,82,0.010388257799715531,0.042235027217283456,0.026422805379985308,0.007000600593950977,0.6173780487804879,12.950000000000003,0.6153889894485474,0.6085735559463501,0.6085262894630432
A,Jalan1.csv,48,fps_down,17,0.007993790156701031,0.010803656017079095,0.023425895337234524,0.033767602864940016,1.0,1.0,0.6153889894485474,0.6085735559463501,0.6085262894630432
A,Jalan1.csv,48,fps_up,63,0.011364169950996126,0.052057302849633315,0.028070314609933467,0.0,0.501984126984127,13.0,0.6153889894485474,0.6085735559463501,0.6085262894630432
A,Jalan1.csv,48,wrs_overall,82,0.009739923722496846,0.041646939225313116,0.024778524498176965,0.009541739167979608,0.6173780487804879,12.950000000000003,0.6153889894485474,0.6085735559463501,0.6085262894630432
A,Jalan1.csv,48,wrs_down,17,0.004866531666587381,0.007966996291104497,0.015494658142629573,0.04602485951613693,1.0,1.0,0.6153889894485474,0.6085735559463501,0.6085262894630432
A,Jalan1.csv,48,wrs_up,63,0.011364169950996126,0.052057302849633315,0.028070314609933467,0.0,0.501984126984127,13.0,0.6153889894485474,0.6085735559463501,0.6085262894630432
A,Jalan10.csv,48,fps_overall,87,0.009341623120266816,0.027651525734142327,0.030168450979419566,0.010827413252087604,0.691331417624521,13.0,0.5001903772354126,0.508407473564148,0.5038859844207764
A,Jalan10.csv,48,fps_down,35,0.013015132929597582,0.03463999748229985,0.04447961537433522,0.026913855798046327,1.0,1.0,0.5001903772354126,0.508407473564148,0.5038859844207764
A,Jalan10.csv,48,fps_up,51,0.007003756057397992,0.023397702489997788,0.020938601904073914,0.0,0.47344771241830064,13.0,0.5001903772354126,0.508407473564148,0.5038859844207764
A,Jalan10.csv,48,wrs_overall,87,0.011860821995584444,0.023205165950388722,0.02083771326445343,0.019671963610748123,0.691331417624521,13.0,0.5001903772354126,0.508407473564148,0.5038859844207764
A,Jalan10.csv,48,wrs_down,35,0.01927714156252997,0.023587617448398046,0.02128606733999082,0.04889888097528819,1.0,1.0,0.5001903772354126,0.508407473564148,0.5038859844207764
A,Jalan10.csv,48,wrs_up,51,0.007003756057397992,0.023397702489997788,0.020938601904073914,0.0,0.47344771241830064,13.0,0.5001903772354126,0.508407473564148,0.5038859844207764
A,Jalan11.csv,48,fps_overall,87,0.012887072610272759,0.04700329030553484,0.0469040808337473,0.012722047451908764,0.7080938697318008,13.0,0.5692678093910217,0.5596297979354858,0.5750882029533386
A,Jalan11.csv,48,fps_down,42,0.013074442832952454,0.05218902460875948,0.053966833472562335,0.02635281257895387,1.0,1.0,0.5692678093910217,0.5596297979354858,0.5750882029533386
A,Jalan11.csv,48,fps_up,44,0.013001107229766521,0.043121527795764385,0.04122836424291811,0.0,0.42282196969696967,13.850000000000001,0.5692678093910217,0.5596297979354858,0.5750882029533386
A,Jalan11.csv,48,wrs_overall,87,0.011613656284994093,0.04001132480200682,0.03431981488334379,0.03205588493173603,0.7080938697318008,13.0,0.5692678093910217,0.5596297979354858,0.5750882029533386
A,Jalan11.csv,48,wrs_down,42,0.010436651873446647,0.03770566749430859,0.02789942543244078,0.06640147593002463,1.0,1.0,0.5692678093910217,0.5596297979354858,0.5750882029533386
A,Jalan11.csv,48,wrs_up,44,0.013001107229766521,0.043121527795764385,0.04122836424291811,0.0,0.42282196969696967,13.850000000000001,0.5692678093910217,0.5596297979354858,0.5750882029533386
A,Jalan12.csv,48,fps_overall,98,0.012877783605030604,0.028188300900617448,0.03162406435787526,0.012630269616471635,0.7438350340136054,13.149999999999991,0.6470586657524109,0.6502180099487305,0.6482987999916077
A,Jalan12.csv,48,fps_down,51,0.016171580728362587,0.013901509315359897,0.03719222036135547,0.02426992985125922,1.0,1.0,0.6470586657524109,0.6502180099487305,0.6482987999916077
A,Jalan12.csv,48,fps_up,46,0.009505916872750158,0.04464079376472078,0.02613815366614448,0.0,0.4542572463768116,14.0,0.6470586657524109,0.6502180099487305,0.6482987999916077
A,Jalan12.csv,48,wrs_overall,98,0.011804439621616383,0.03576126189104143,0.02433218628557741,0.02261057187307693,0.7438350340136054,13.149999999999991,0.6470586657524109,0.6502180099487305,0.6482987999916077
A,Jalan12.csv,48,wrs_down,51,0.014109076603370555,0.028453473571468713,0.0231803762224302,0.04344776556003018,1.0,1.0,0.6470586657524109,0.6502180099487305,0.6482987999916077
A,Jalan12.csv,48,wrs_up,46,0.009505916872750158,0.04464079376472078,0.02613815366614448,0.0,0.4542572463768116,14.0,0.6470586657524109,0.6502180099487305,0.6482987999916077
A,Jalan13.csv,48,fps_overall,103,0.013645552858276275,0.026100083028228423,0.03677883619686715,0.015012201318219072,0.7807443365695793,10.799999999999983,0.5834541320800781,0.5810360312461853,0.584010660648346
A,Jalan13.csv,48,fps_down,47,0.014728959253493776,0.01626252541516692,0.03175188494013979,0.032899079484607754,1.0,1.0,0.5834541320800781,0.5810360312461853,0.584010660648346
A,Jalan13.csv,48,fps_up,53,0.013457186028080166,0.036301318064050604,0.04331851954888201,0.0,0.5738993710691823,12.399999999999999,0.5834541320800781,0.5810360312461853,0.584010660648346
A,Jalan13.csv,48,wrs_overall,103,0.0114953709965192,0.025054376767676884,0.0358816492393866,0.026259756688128938,0.7807443365695793,10.799999999999983,0.5834541320800781,0.5810360312461853,0.584010660648346
A,Jalan13.csv,48,wrs_down,47,0.010016858577728271,0.01397087126970292,0.02978570926736327,0.057547977422920865,1.0,1.0,0.5834541320800781,0.5810360312461853,0.584010660648346
A,Jalan13.csv,48,wrs_up,53,0.013457186028080166,0.036301318064050604,0.04331851954888201,0.0,0.5738993710691823,12.399999999999999,0.5834541320800781,0.5810360312461853,0.584010660648346
A,Jalan14.csv,48,fps_overall,81,0.009372595053764038,0.04303338417300456,0.031261234279767965,0.004544280708599626,0.5450102880658436,13.0,0.45319393277168274,0.43237343430519104,0.43089592456817627
A,Jalan14.csv,48,fps_down,11,0.014609195291996002,0.012246089360930756,0.040803287347609345,0.03346243067241542,1.0,1.0,0.45319393277168274,0.43237343430519104,0.43089592456817627
A,Jalan14.csv,48,fps_up,69,0.008673609436854073,0.04856517587019032,0.03019309878025366,0.0,0.4658816425120772,13.599999999999994,0.45319393277168274,0.43237343430519104,0.43089592456817627
