timestamp,frame,x,y,z,doppler,SNR
1762771573.057950,1,-2.740999,6.463372,1.072963,-0.069720,3.120000
1762771573.057950,1,-1.994755,6.656186,1.014110,-0.069720,3.360000
1762771573.057950,1,-0.061804,0.073165,1.765829,1.878800,3.240000
1762771573.057950,1,0.086229,0.235364,1.965688,0.487200,3.520000
1762771573.057950,1,5.484121,4.330690,1.347788,-0.069720,3.120000
1762771573.057950,1,6.019425,3.699356,1.521533,0.139160,3.000000
1762771573.112618,2,-0.027896,0.248969,2.035287,-4.174800,3.760000
1762771573.112618,2,0.984175,6.581134,-0.422337,-1.183000,3.120000
1762771573.112618,2,1.826868,5.979629,-1.187856,-0.069720,3.240000
1762771573.167773,3,-0.145175,0.203749,2.037675,2.574600,3.880000
1762771573.167773,3,-3.301484,6.033225,0.601344,-0.069720,3.880000
1762771573.167773,3,-2.757528,6.281602,0.243538,-0.069720,3.360000
1762771573.167773,3,0.039967,0.236621,2.080139,-2.783200,3.520000
1762771573.167773,3,4.369686,5.567764,1.025457,-0.069720,3.240000
1762771573.167773,3,4.559975,5.284299,0.803983,-0.069720,3.640000
1762771573.167773,3,5.131108,4.606457,0.693047,-0.069720,3.760000
1762771573.219090,4,-1.984349,6.694544,1.291994,-0.069720,3.000000
1762771573.219090,4,-0.253048,3.206410,1.771303,-0.069720,3.880000
1762771573.219090,4,0.032090,0.192662,1.839188,3.479000,3.120000
1762771573.264333,5,-2.696788,3.027080,7.728871,-2.435440,3.000000
1762771573.264333,5,-2.011093,3.909766,7.551295,-2.365720,3.120000
1762771573.264333,5,0.086498,0.225900,2.074135,-2.435440,3.360000
1762771573.326429,6,-5.740404,3.564416,0.103018,1.948240,3.120000
1762771573.326429,6,0.093463,0.220142,1.917472,-0.556640,3.520000
1762771573.373868,7,-5.396278,2.236967,-1.889987,-0.348040,3.240000
1762771573.373868,7,-5.178295,4.829567,2.090504,-0.069720,3.120000
1762771573.373868,7,-0.064260,0.140551,1.799688,-1.530760,4.120000
1762771573.373868,7,-1.016406,0.708915,-4.907981,2.574600,3.000000
1762771573.439367,8,-6.100654,3.191310,3.361394,-1.739640,3.000000
1762771573.439367,8,-0.128979,0.199349,1.912630,2.157120,3.760000
1762771573.439367,8,-1.088691,6.930395,1.799452,2.157120,3.240000
1762771573.439367,8,0.706935,6.787363,0.108020,-4.035640,3.240000
1762771573.439367,8,0.029812,0.192961,1.839107,-4.035640,3.360000
1762771573.494064,9,-6.158972,2.627930,-0.304060,-4.105360,3.240000
1762771573.494064,9,-0.452841,1.353953,3.521588,0.208880,3.240000
1762771573.494064,9,-1.168181,6.248241,-0.975009,0.069720,3.000000
1762771573.494064,9,-0.037127,0.249653,1.982572,-3.687880,4.120000
1762771573.494064,9,4.020972,2.802464,-2.934572,1.809080,3.120000
1762771573.494064,9,4.134559,5.459269,0.464536,0.069720,3.640000
1762771573.494064,9,0.158967,0.073852,1.817560,-0.626360,3.760000
1762771573.553438,10,-3.764383,5.872252,1.224165,0.139160,3.880000
1762771573.553438,10,-3.819685,5.811160,0.662811,-4.035640,3.240000
1762771573.553438,10,0.410600,6.652047,4.199437,0.069720,3.000000
1762771573.553438,10,0.478506,3.913153,-3.882679,-0.695800,3.360000
1762771573.553438,10,0.464684,4.524247,-3.509913,-0.695800,3.120000
1762771573.553438,10,0.056016,0.209788,2.129847,0.765520,3.640000
1762771573.553438,10,-0.168621,0.019621,1.812407,-3.757320,4.120000
1762771573.553438,10,5.493519,3.715369,-0.296328,0.139160,3.640000
1762771573.553438,10,5.966635,2.538351,-0.846699,0.069720,3.360000
1762771573.595752,11,-2.140014,6.507554,0.474248,0.069720,3.000000
1762771573.595752,11,-0.399560,1.424290,3.559864,0.069720,3.000000
1762771573.595752,11,-0.338324,1.507917,3.401858,0.069720,3.240000
1762771573.595752,11,0.034969,0.198595,1.847206,-0.278320,3.880000
1762771573.595752,11,0.215314,0.124467,1.953558,-2.087400,4.120000
1762771573.658671,12,-2.620057,5.544164,5.413705,3.687880,3.240000
1762771573.658671,12,-0.544202,1.237124,3.671764,0.069720,3.640000
1762771573.658671,12,-0.513289,1.210785,3.619881,0.208880,4.000000
1762771573.658671,12,-0.439114,1.312909,3.475463,0.208880,3.240000
1762771573.658671,12,-0.048594,0.230383,2.092581,0.278320,3.880000
1762771573.658671,12,-1.217403,6.164469,0.548500,0.069720,4.120000
1762771573.658671,12,-1.101262,6.247441,0.528232,0.069720,3.360000
1762771573.658671,12,0.146650,0.176153,2.107112,-3.966200,4.000000
1762771573.711616,13,-0.130713,0.170875,1.866866,-3.409560,3.880000
1762771573.711616,13,-2.575799,3.250263,-3.661880,1.669920,3.520000
1762771573.711616,13,-0.589589,0.004295,-0.067315,0.069720,3.000000
1762771573.711616,13,-1.356932,6.199946,0.540958,0.139160,3.360000
1762771573.711616,13,-1.268132,6.092302,0.565881,0.139160,4.120000
1762771573.711616,13,-1.280642,6.152405,0.551733,0.139160,5.640000
1762771573.711616,13,0.014299,0.068914,1.756987,-1.809080,3.760000
1762771573.711616,13,0.187632,0.130424,2.108594,2.644040,4.120000
1762771573.770922,14,-1.090566,6.186763,0.542527,0.069720,3.240000
1762771573.770922,14,0.139437,6.329842,-1.310218,-0.348040,3.000000
1762771573.770922,14,0.143631,0.091410,1.812855,2.852920,3.880000
1762771573.817654,15,-0.481544,1.276777,3.661139,0.069720,3.120000
1762771573.817654,15,-0.387804,1.382384,3.513970,0.069720,3.000000
1762771573.817654,15,4.429681,4.948769,-0.267918,0.208880,3.120000
1762771573.881261,16,-4.418678,5.221109,-0.063781,0.208880,3.240000
1762771573.881261,16,-3.452707,5.870687,0.060542,0.208880,3.640000
1762771573.881261,16,-2.518455,4.396696,6.856159,1.809080,3.760000
1762771573.881261,16,-0.400707,1.841133,3.277098,0.069720,3.520000
1762771573.881261,16,-0.244796,3.069196,1.656902,0.069720,3.000000
1762771573.881261,16,-0.279015,3.140969,1.776471,0.069720,10.760000
1762771573.881261,16,-0.189874,3.210689,1.770156,0.069720,14.640000
1762771573.881261,16,-0.003966,0.150849,1.796929,0.417480,4.120000
1762771573.881261,16,0.000000,3.279279,1.764144,-0.069720,7.360000
1762771573.881261,16,0.000000,2.822263,-0.534852,0.069720,3.360000
1762771573.939277,17,-6.019736,3.614927,-0.918004,-0.417480,3.000000
1762771573.939277,17,-5.688153,3.815099,-1.531590,-0.487200,3.000000
1762771573.939277,17,-0.156206,0.085497,0.179719,2.713760,3.520000
1762771573.939277,17,-0.279015,3.091797,0.597030,-0.069720,4.000000
1762771573.939277,17,-0.189874,3.160775,0.608976,0.069720,5.240000
1762771573.939277,17,0.032285,3.228423,0.620921,-0.069720,3.120000
1762771573.939277,17,2.276031,6.434248,1.888859,0.208880,3.000000
1762771573.939277,17,0.102950,0.218679,-0.074767,-1.948240,4.120000
1762771573.939277,17,3.914652,5.601011,1.600003,0.208880,3.360000
1762771573.992684,18,-0.125775,0.200615,0.089125,-3.270400,3.000000
1762771573.992684,18,-1.673437,6.553710,1.871988,1.252440,3.000000
1762771573.992684,18,-1.626750,6.947666,-0.357076,0.208880,3.240000
1762771573.992684,18,-1.452359,6.814029,-1.267798,-3.409560,3.640000
1762771573.992684,18,-0.361344,1.415138,1.662584,-0.069720,4.640000
1762771573.992684,18,-0.357097,1.459228,1.710102,-0.069720,5.360000
1762771573.992684,18,-0.291604,1.516245,1.757621,-0.069720,3.520000
1762771573.992684,18,-0.279015,3.091797,0.597030,-0.069720,10.640000
1762771573.992684,18,-0.253048,3.156345,0.608976,-0.069720,13.880000
1762771573.992684,18,-0.275559,3.437134,-1.581399,0.069720,3.000000
1762771573.992684,18,-0.064567,3.227939,0.620921,-0.069720,7.000000
1762771573.992684,18,3.778494,5.894976,1.058246,0.208880,3.000000
1762771573.992684,18,0.182506,0.107129,0.138650,-2.992080,3.360000
1762771574.040519,19,-5.527083,4.067864,3.469583,-0.278320,3.000000
1762771574.040519,19,-3.939674,5.665192,0.408705,-1.322160,3.000000
1762771574.040519,19,0.049052,0.219445,1.884040,4.453120,3.360000
1762771574.040519,19,1.794527,0.266616,-4.910316,1.043840,3.240000
1762771574.040519,19,2.146151,-0.116116,-4.747459,1.043840,3.120000
1762771574.103864,20,-5.799812,2.822548,-0.922849,-0.765520,3.000000
1762771574.103864,20,-0.107569,0.172553,2.150544,-2.992080,3.760000
1762771574.103864,20,-0.682953,1.065593,3.658786,0.208880,4.000000
1762771574.103864,20,-0.698333,1.157686,3.751989,0.069720,6.000000
1762771574.103864,20,-0.544033,1.708039,3.402835,-0.069720,5.360000
1762771574.103864,20,-0.439114,1.312909,3.475463,0.208880,3.360000
1762771574.103864,20,-0.156223,3.137741,1.648321,-0.069720,8.520000
1762771574.103864,20,-0.126862,3.211267,1.737189,-0.069720,11.120000
1762771574.103864,20,0.064567,3.278656,1.764311,0.069720,6.120000
1762771574.153006,21,-0.075792,0.240892,2.015356,1.391600,4.120000
1762771574.153006,21,-0.355631,6.698340,-0.459604,0.139160,3.120000
1762771574.153006,21,-0.141613,6.820166,0.099230,0.139160,3.240000
1762771574.153006,21,0.083793,0.177972,2.159103,-0.487200,4.120000
1762771574.153006,21,4.628880,5.404863,1.363750,0.139160,4.120000
1762771574.153006,21,4.772196,5.075099,1.148324,-0.069720,4.120000
1762771574.153006,21,4.899887,5.082181,1.443052,0.139160,4.640000
1762771574.212648,22,-5.748862,3.077930,4.594758,-4.383680,3.240000
1762771574.212648,22,-4.342389,0.486581,-3.492061,2.365720,3.520000
1762771574.212648,22,-0.415165,1.837192,3.278154,-0.069720,3.520000
1762771574.212648,22,-0.248549,3.141072,1.744274,-0.069720,6.640000
1762771574.212648,22,-0.189874,3.210689,1.770156,-0.069720,9.120000
1762771574.212648,22,0.000000,3.279279,1.764144,0.069720,5.240000
1762771574.262941,23,-5.994604,2.921478,-0.382716,-2.017960,3.360000
1762771574.262941,23,-0.090746,0.232820,2.039615,1.809080,3.880000
1762771574.262941,23,-0.172251,5.591421,6.238181,1.183000,3.000000
1762771574.262941,23,0.089121,0.228048,1.936276,-1.809080,3.640000
1762771574.262941,23,3.344392,6.112679,1.159743,0.139160,3.000000
1762771574.262941,23,4.324215,5.217106,-0.056847,0.139160,3.000000
1762771574.313039,24,-0.924324,0.877396,3.886032,0.069720,4.880000
1762771574.313039,24,-0.876073,0.904458,3.819841,0.069720,3.640000
1762771574.313039,24,-0.879031,1.043415,3.900487,0.069720,4.000000
1762771574.313039,24,-0.248084,3.143515,1.775789,-0.069720,3.520000
1762771574.313039,24,-0.158258,3.212370,1.769706,-0.069720,4.520000
1762771574.313039,24,2.451487,6.055536,-0.564475,1.322160,3.000000
1762771574.313039,24,0.131698,0.189608,2.103506,3.200680,4.120000
1762771574.375825,25,-6.261293,2.902049,2.863915,3.827040,3.000000
1762771574.375825,25,-6.318563,3.001503,2.567966,0.139160,4.000000
1762771574.375825,25,-4.797851,5.175857,1.417952,0.139160,3.120000
1762771574.375825,25,-0.136155,0.213102,1.992366,-0.834960,3.240000
1762771574.375825,25,-0.253048,3.206410,1.771303,-0.069720,3.240000
1762771574.375825,25,1.087401,6.714437,3.970161,4.105360,3.000000
1762771574.375825,25,0.060381,0.199566,2.143305,-2.644040,3.120000
1762771574.432573,26,-1.732226,1.505528,-4.632391,1.252440,3.640000
1762771574.432573,26,-0.032521,0.231784,1.903939,0.278320,3.760000
1762771574.432573,26,-0.187433,3.136081,1.648766,-0.069720,3.360000
1762771574.432573,26,-0.159348,3.200521,1.641285,-0.069720,4.520000
1762771574.432573,26,1.533938,4.883893,-2.983825,-3.339840,3.000000
1762771574.432573,26,3.478689,5.995682,0.901655,0.069720,3.120000
