input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\F\Jalan1.csv,4438,3929,100,27,0.7091988325598042,0.0,F,1
E:\0.TA_Teguh\dataset3\F\Jalan2.csv,7293,6405,108,19,0.7990578159562387,0.0,F,2
E:\0.TA_Teguh\dataset3\F\Jalan3.csv,5538,5007,96,15,0.8170141561936614,0.0,F,3
E:\0.TA_Teguh\dataset3\F\Jalan4.csv,690,351,82,59,0.27373120652730637,0.0,F,4
E:\0.TA_Teguh\dataset3\F\Jalan5.csv,1610,1050,110,59,0.45392994192336716,0.0,F,5
E:\0.TA_Teguh\dataset3\F\Jalan6.csv,3508,2625,112,46,0.5642067766929045,0.0,F,6
E:\0.TA_Teguh\dataset3\F\Jalan7.csv,3744,3040,111,41,0.6078179606540972,0.0,F,7
E:\0.TA_Teguh\dataset3\F\Jalan8.csv,3576,3210,95,27,0.6911624398302103,0.0,F,8
E:\0.TA_Teguh\dataset3\F\Jalan9.csv,6563,6182,111,18,0.8081114621372061,0.0,F,9
E:\0.TA_Teguh\dataset3\F\Jalan10.csv,4198,3704,123,36,0.6805849952667775,0.0,F,10
E:\0.TA_Teguh\dataset3\F\Jalan11.csv,4944,4679,110,21,0.7873247631348569,0.0,F,11
E:\0.TA_Teguh\dataset3\F\Jalan12.csv,4250,3891,114,33,0.6820428840950534,0.0,F,12
E:\0.TA_Teguh\dataset3\F\Jalan13.csv,5542,5000,126,26,0.7706386786485884,0.0,F,13
E:\0.TA_Teguh\dataset3\F\Jalan14.csv,3962,3635,123,29,0.7374817618494894,0.0,F,14
E:\0.TA_Teguh\dataset3\F\Jalan15.csv,9348,8357,301,83,0.7009329605586974,0.0,F,15
E:\0.TA_Teguh\dataset3\F\Jalan16.csv,11023,10296,294,58,0.7772309496617082,0.0,F,16
E:\0.TA_Teguh\dataset3\F\Jalan17.csv,11835,11231,245,20,0.8859895110180742,0.0,F,17
E:\0.TA_Teguh\dataset3\F\Jalan18.csv,12211,11745,198,6,0.934529817531715,0.0,F,18
E:\0.TA_Teguh\dataset3\F\Jalan19.csv,8247,7552,258,74,0.6896946894524894,0.0,F,19
E:\0.TA_Teguh\dataset3\F\Jalan20.csv,9388,8756,220,29,0.8359175527631793,0.0,F,20
E:\0.TA_Teguh\dataset3\F\Jalan21.csv,9462,9049,173,5,0.9357816239757009,0.0,F,21
E:\0.TA_Teguh\dataset3\F\Jalan22.csv,9664,9316,161,9,0.9125153934768976,0.0,F,22
E:\0.TA_Teguh\dataset3\F\Jalan23.csv,18062,16513,439,71,0.8099001797834356,0.0,F,23
E:\0.TA_Teguh\dataset3\F\Jalan24.csv,22036,20581,434,70,0.8103794516511846,0.0,F,24
E:\0.TA_Teguh\dataset3\F\Jalan25.csv,3453,3106,81,12,0.8338197209921873,0.0,F,25
E:\0.TA_Teguh\dataset3\F\Jalan26.csv,5539,5019,93,20,0.7548211457647579,0.0,F,26
E:\0.TA_Teguh\dataset3\F\Jalan27.csv,4665,4197,90,19,0.764254393978413,0.0,F,27
E:\0.TA_Teguh\dataset3\F\Jalan28.csv,473,122,79,69,0.12413100261201528,0.0,F,28
E:\0.TA_Teguh\dataset3\F\Jalan29.csv,1240,754,87,50,0.41083507093393656,0.0,F,29
E:\0.TA_Teguh\dataset3\F\Jalan30.csv,2841,2281,93,29,0.6611823811602413,0.0,F,30
E:\0.TA_Teguh\dataset3\F\Jalan31.csv,3337,2676,91,26,0.6879043337531728,0.0,F,31
E:\0.TA_Teguh\dataset3\F\Jalan32.csv,3182,2902,79,18,0.7428969168637315,0.0,F,32
E:\0.TA_Teguh\dataset3\F\Jalan33.csv,3324,2887,81,17,0.7681849552558335,0.0,F,33
E:\0.TA_Teguh\dataset3\F\Jalan34.csv,2533,2210,98,35,0.6164718913466963,0.0,F,34
E:\0.TA_Teguh\dataset3\F\Jalan35.csv,4576,4335,84,10,0.8500214286549441,0.0,F,35
E:\0.TA_Teguh\dataset3\F\Jalan36.csv,3777,3413,102,37,0.6107249510979966,0.0,F,36
E:\0.TA_Teguh\dataset3\F\Jalan37.csv,5719,4917,105,22,0.7695019349336873,0.0,F,37
E:\0.TA_Teguh\dataset3\F\Jalan38.csv,3100,2806,109,40,0.6111681398199355,0.0,F,38
E:\0.TA_Teguh\dataset3\F\Jalan39.csv,7426,6882,202,36,0.790055136691569,0.0,F,39
E:\0.TA_Teguh\dataset3\F\Jalan40.csv,7142,6715,193,25,0.8397398931628125,0.0,F,40
E:\0.TA_Teguh\dataset3\F\Jalan41.csv,8526,8061,164,9,0.906791373778301,0.0,F,41
E:\0.TA_Teguh\dataset3\F\Jalan42.csv,9107,8735,140,9,0.9007012045866222,0.0,F,42
E:\0.TA_Teguh\dataset3\F\Jalan43.csv,6074,5507,204,47,0.7436189415140653,0.0,F,43
E:\0.TA_Teguh\dataset3\F\Jalan44.csv,7950,7405,194,26,0.8352921759254416,0.0,F,44
E:\0.TA_Teguh\dataset3\F\Jalan45.csv,8160,7803,157,8,0.9170318261360401,0.0,F,45
E:\0.TA_Teguh\dataset3\F\Jalan46.csv,7447,7127,124,10,0.8855404344985007,0.0,F,46
E:\0.TA_Teguh\dataset3\F\Jalan47.csv,14865,13704,370,67,0.7934951639302219,0.0,F,47
E:\0.TA_Teguh\dataset3\F\Jalan48.csv,15693,14587,331,46,0.8308139599450015,0.0,F,48
E:\0.TA_Teguh\dataset3\F\Jalan49.csv,5410,4827,123,29,0.7460203242552612,0.0,F,49
E:\0.TA_Teguh\dataset3\F\Jalan50.csv,7666,7200,124,28,0.7522469127160057,0.0,F,50
E:\0.TA_Teguh\dataset3\F\Jalan51.csv,5928,5236,124,26,0.7652588352352515,0.0,F,51
E:\0.TA_Teguh\dataset3\F\Jalan52.csv,672,257,105,86,0.17719587835134054,0.0,F,52
