input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\A\Jalan57.csv,3464,2793,128,54,0.5424826742927503,0.0,A,57
E:\0.TA_Teguh\dataset3\A\Jalan58.csv,6269,5155,170,63,0.5909474128043964,0.0,A,58
E:\0.TA_Teguh\dataset3\A\Jalan59.csv,7253,6060,162,59,0.5948210929028428,0.0,A,59
E:\0.TA_Teguh\dataset3\A\Jalan60.csv,3560,2587,146,62,0.5340188309426167,0.0,A,60
E:\0.TA_Teguh\dataset3\A\Jalan61.csv,6112,5440,167,43,0.6995811157183014,0.0,A,61
E:\0.TA_Teguh\dataset3\A\Jalan62.csv,7868,7273,152,24,0.7939320798865164,0.0,A,62
E:\0.TA_Teguh\dataset3\A\Jalan63.csv,14137,12389,402,139,0.6171608363605018,0.0,A,63
E:\0.TA_Teguh\dataset3\A\Jalan64.csv,13245,11974,339,90,0.692638729403014,0.0,A,64
E:\0.TA_Teguh\dataset3\A\Jalan65.csv,11440,10612,215,25,0.8306391747341096,0.0,A,65
E:\0.TA_Teguh\dataset3\A\Jalan66.csv,12670,11990,179,8,0.904298168703164,0.0,A,66
E:\0.TA_Teguh\dataset3\A\Jalan67.csv,12501,11375,301,73,0.70952850919402,0.0,A,67
E:\0.TA_Teguh\dataset3\A\Jalan68.csv,11500,10636,218,36,0.7819543655399147,0.0,A,68
E:\0.TA_Teguh\dataset3\A\Jalan69.csv,10420,9824,164,17,0.8499577760545576,0.0,A,69
E:\0.TA_Teguh\dataset3\A\Jalan70.csv,9172,8706,133,10,0.8792744499570545,0.0,A,70
E:\0.TA_Teguh\dataset3\A\Jalan71.csv,19145,16312,635,241,0.5801483481414428,0.0,A,71
E:\0.TA_Teguh\dataset3\A\Jalan72.csv,26555,24296,579,119,0.7467745300543798,0.0,A,72
E:\0.TA_Teguh\dataset3\B\Jalan1.csv,3882,3396,112,28,0.7060881022244528,0.0,B,1
E:\0.TA_Teguh\dataset3\B\Jalan2.csv,8110,7482,120,14,0.8347254567014311,0.0,B,2
E:\0.TA_Teguh\dataset3\B\Jalan3.csv,7762,6825,117,24,0.7563307865338366,0.0,B,3
E:\0.TA_Teguh\dataset3\B\Jalan4.csv,1097,523,111,88,0.19401123588446198,0.0,B,4
E:\0.TA_Teguh\dataset3\B\Jalan5.csv,2269,1440,123,72,0.39006887109931043,0.0,B,5
E:\0.TA_Teguh\dataset3\B\Jalan6.csv,3905,2446,140,67,0.48565435282350666,0.0,B,6
E:\0.TA_Teguh\dataset3\B\Jalan7.csv,6318,4483,140,56,0.5628298478273878,0.0,B,7
E:\0.TA_Teguh\dataset3\B\Jalan8.csv,3291,2946,109,39,0.5966674155387888,0.0,B,8
E:\0.TA_Teguh\dataset3\B\Jalan9.csv,5770,4517,121,44,0.5953908853371191,0.0,B,9
E:\0.TA_Teguh\dataset3\B\Jalan10.csv,4725,4085,134,59,0.5250200618963962,0.0,B,10
E:\0.TA_Teguh\dataset3\B\Jalan11.csv,4466,3667,133,50,0.5888736377841175,0.0,B,11
E:\0.TA_Teguh\dataset3\B\Jalan12.csv,5336,4717,130,42,0.6337094732156707,0.0,B,12
E:\0.TA_Teguh\dataset3\B\Jalan13.csv,6804,6078,138,38,0.6851776750149657,0.0,B,13
E:\0.TA_Teguh\dataset3\B\Jalan14.csv,4566,3949,137,51,0.5918376331587967,0.0,B,14
E:\0.TA_Teguh\dataset3\B\Jalan15.csv,11143,9156,329,113,0.6184801983784224,0.0,B,15
E:\0.TA_Teguh\dataset3\B\Jalan16.csv,11847,10887,285,58,0.7491820603523744,0.0,B,16
E:\0.TA_Teguh\dataset3\B\Jalan17.csv,12211,11368,238,29,0.8272903329997927,0.0,B,17
E:\0.TA_Teguh\dataset3\B\Jalan18.csv,13863,13051,193,6,0.9111181508003139,0.0,B,18
E:\0.TA_Teguh\dataset3\B\Jalan19.csv,9722,8171,295,88,0.6552276289359348,0.0,B,19
E:\0.TA_Teguh\dataset3\B\Jalan20.csv,9423,8442,258,64,0.7031554910963049,0.0,B,20
E:\0.TA_Teguh\dataset3\B\Jalan21.csv,13130,12344,209,10,0.8984619941920376,0.0,B,21
E:\0.TA_Teguh\dataset3\B\Jalan22.csv,13471,12705,184,8,0.904278612810579,0.0,B,22
E:\0.TA_Teguh\dataset3\B\Jalan23.csv,20772,18129,532,141,0.69179386744173,0.0,B,23
E:\0.TA_Teguh\dataset3\B\Jalan24.csv,22976,20514,527,127,0.7137191051188903,0.0,B,24
E:\0.TA_Teguh\dataset3\B\Jalan25.csv,3203,2825,96,27,0.6758207815174185,0.0,B,25
E:\0.TA_Teguh\dataset3\B\Jalan26.csv,6315,5558,108,28,0.7035901442222131,0.0,B,26
E:\0.TA_Teguh\dataset3\B\Jalan27.csv,6216,5374,98,22,0.7357731084846932,0.0,B,27
E:\0.TA_Teguh\dataset3\B\Jalan28.csv,858,406,90,69,0.21983110519613064,0.0,B,28
E:\0.TA_Teguh\dataset3\B\Jalan29.csv,2261,1444,109,55,0.46591563080796816,0.0,B,29
E:\0.TA_Teguh\dataset3\B\Jalan30.csv,3605,2096,122,73,0.3760280183808482,0.0,B,30
E:\0.TA_Teguh\dataset3\B\Jalan31.csv,4201,3193,115,46,0.5617294104084865,0.0,B,31
E:\0.TA_Teguh\dataset3\B\Jalan32.csv,3219,2849,92,38,0.551041039306677,0.0,B,32
E:\0.TA_Teguh\dataset3\B\Jalan33.csv,4230,3143,108,52,0.4850812422351419,0.0,B,33
E:\0.TA_Teguh\dataset3\B\Jalan34.csv,3302,2842,104,44,0.5390950860547624,0.0,B,34
E:\0.TA_Teguh\dataset3\B\Jalan35.csv,3232,2557,108,43,0.558076858296277,0.0,B,35
E:\0.TA_Teguh\dataset3\B\Jalan36.csv,3061,2595,98,36,0.5937148693640769,0.0,B,36
E:\0.TA_Teguh\dataset3\B\Jalan37.csv,4240,3604,107,32,0.6558451813410711,0.0,B,37
E:\0.TA_Teguh\dataset3\B\Jalan38.csv,3329,2845,104,43,0.5489167392750207,0.0,B,38
E:\0.TA_Teguh\dataset3\B\Jalan39.csv,8992,7376,277,105,0.5844283723660866,0.0,B,39
E:\0.TA_Teguh\dataset3\B\Jalan40.csv,8379,7505,227,61,0.6860893112248744,0.0,B,40
E:\0.TA_Teguh\dataset3\B\Jalan41.csv,10290,9608,197,20,0.8457952498928994,0.0,B,41
E:\0.TA_Teguh\dataset3\B\Jalan42.csv,9658,9093,147,7,0.8965569655301319,0.0,B,42
E:\0.TA_Teguh\dataset3\B\Jalan43.csv,7000,5633,250,106,0.5377113987021128,0.0,B,43
E:\0.TA_Teguh\dataset3\B\Jalan44.csv,9539,8692,205,30,0.7984979674747503,0.0,B,44
E:\0.TA_Teguh\dataset3\B\Jalan45.csv,10650,9882,185,12,0.8744568605262257,0.0,B,45
E:\0.TA_Teguh\dataset3\B\Jalan46.csv,13875,13115,155,0,0.9472771076555516,0.8363636363636363,B,46
E:\0.TA_Teguh\dataset3\B\Jalan47.csv,16323,14212,398,96,0.7098735989564664,0.0,B,47
E:\0.TA_Teguh\dataset3\B\Jalan48.csv,19861,17886,433,96,0.7327430655731808,0.0,B,48
E:\0.TA_Teguh\dataset3\B\Jalan49.csv,3348,2086,128,59,0.5137769358155143,0.0,B,49
E:\0.TA_Teguh\dataset3\B\Jalan50.csv,8046,7371,135,25,0.7793680007955833,0.0,B,50
E:\0.TA_Teguh\dataset3\B\Jalan51.csv,7892,6769,153,48,0.6521844312746283,0.0,B,51
E:\0.TA_Teguh\dataset3\B\Jalan52.csv,1307,731,123,91,0.24583268029104896,0.0,B,52
E:\0.TA_Teguh\dataset3\B\Jalan53.csv,1755,847,161,126,0.20557277607977992,0.0,B,53
E:\0.TA_Teguh\dataset3\B\Jalan54.csv,4377,2772,151,73,0.485047157004686,0.0,B,54
E:\0.TA_Teguh\dataset3\B\Jalan55.csv,5968,4559,149,60,0.5612778580397425,0.0,B,55
E:\0.TA_Teguh\dataset3\B\Jalan56.csv,4657,4225,112,31,0.6740506868234696,0.0,B,56
E:\0.TA_Teguh\dataset3\B\Jalan57.csv,7016,5712,153,62,0.5548910596274355,0.0,B,57
E:\0.TA_Teguh\dataset3\B\Jalan58.csv,5236,4571,152,58,0.5801145400068275,0.0,B,58
E:\0.TA_Teguh\dataset3\B\Jalan59.csv,4769,3960,147,58,0.5746599262704518,0.0,B,59
E:\0.TA_Teguh\dataset3\B\Jalan60.csv,4015,3514,138,49,0.6066271354263417,0.0,B,60
E:\0.TA_Teguh\dataset3\B\Jalan61.csv,5761,5075,147,41,0.6747067172275668,0.0,B,61
E:\0.TA_Teguh\dataset3\B\Jalan62.csv,5761,5076,153,51,0.6196958518982243,0.0,B,62
E:\0.TA_Teguh\dataset3\B\Jalan63.csv,11783,9945,408,156,0.5810367458184754,0.0,B,63
E:\0.TA_Teguh\dataset3\B\Jalan64.csv,12163,11005,320,68,0.7380273989117406,0.0,B,64
E:\0.TA_Teguh\dataset3\B\Jalan65.csv,13016,12053,248,25,0.8423879417710388,0.0,B,65
E:\0.TA_Teguh\dataset3\B\Jalan66.csv,12511,11733,209,13,0.8794976773885208,0.0,B,66
E:\0.TA_Teguh\dataset3\B\Jalan67.csv,11845,10112,406,147,0.5980915110696722,0.0,B,67
E:\0.TA_Teguh\dataset3\B\Jalan68.csv,11758,10660,287,59,0.7417901063953865,0.0,B,68
E:\0.TA_Teguh\dataset3\B\Jalan69.csv,13269,12230,264,35,0.8112157035641812,0.0,B,69
E:\0.TA_Teguh\dataset3\B\Jalan70.csv,13626,12798,217,12,0.8871598591349384,0.0,B,70
E:\0.TA_Teguh\dataset3\B\Jalan71.csv,21462,18323,622,185,0.6618745142114494,0.0,B,71
E:\0.TA_Teguh\dataset3\B\Jalan72.csv,23437,20430,582,163,0.6761335056056137,0.0,B,72
E:\0.TA_Teguh\dataset3\C\Jalan1.csv,4900,4197,158,48,0.6586834073892651,0.0,C,1
E:\0.TA_Teguh\dataset3\C\Jalan2.csv,7355,6789,149,30,0.7501481302061933,0.0,C,2
E:\0.TA_Teguh\dataset3\C\Jalan3.csv,10578,9237,183,41,0.7384590415211507,0.0,C,3
E:\0.TA_Teguh\dataset3\C\Jalan4.csv,1451,888,126,87,0.2869765421220182,0.0,C,4
E:\0.TA_Teguh\dataset3\C\Jalan5.csv,1830,905,160,125,0.20753681478307034,0.0,C,5
E:\0.TA_Teguh\dataset3\C\Jalan6.csv,3008,2030,161,98,0.36869563687063134,0.0,C,6
E:\0.TA_Teguh\dataset3\C\Jalan7.csv,5889,4211,180,66,0.5879694748788223,0.0,C,7
E:\0.TA_Teguh\dataset3\C\Jalan8.csv,5192,4754,141,51,0.6095490990325919,0.0,C,8
E:\0.TA_Teguh\dataset3\C\Jalan9.csv,4357,3714,155,68,0.5353922976909359,0.0,C,9
E:\0.TA_Teguh\dataset3\C\Jalan10.csv,5260,4557,176,86,0.4841490536306408,0.0,C,10
E:\0.TA_Teguh\dataset3\C\Jalan11.csv,6301,5055,160,71,0.526811856894347,0.0,C,11
E:\0.TA_Teguh\dataset3\C\Jalan12.csv,5562,4983,149,41,0.6790487254993104,0.0,C,12
E:\0.TA_Teguh\dataset3\C\Jalan13.csv,7144,6131,187,57,0.6582863567504655,0.0,C,13
E:\0.TA_Teguh\dataset3\C\Jalan14.csv,4385,3800,156,64,0.5599260404320975,0.0,C,14
E:\0.TA_Teguh\dataset3\C\Jalan15.csv,13239,11092,450,168,0.5909531136349332,0.0,C,15
E:\0.TA_Teguh\dataset3\C\Jalan16.csv,14787,13311,348,64,0.7670653543471415,0.0,C,16
E:\0.TA_Teguh\dataset3\C\Jalan17.csv,14834,13721,320,44,0.8124794567716085,0.0,C,17
E:\0.TA_Teguh\dataset3\C\Jalan18.csv,12298,11375,231,31,0.8148264447285817,0.0,C,18
E:\0.TA_Teguh\dataset3\C\Jalan19.csv,12702,11219,370,97,0.6989177565088688,0.0,C,19
E:\0.TA_Teguh\dataset3\C\Jalan20.csv,11493,10336,334,86,0.7010437788275083,0.0,C,20
E:\0.TA_Teguh\dataset3\C\Jalan21.csv,14260,13306,272,35,0.8250976359072059,0.0,C,21
E:\0.TA_Teguh\dataset3\C\Jalan22.csv,14056,13174,228,13,0.8881825729358548,0.0,C,22
E:\0.TA_Teguh\dataset3\C\Jalan23.csv,19531,15286,658,258,0.5725765044981663,0.0,C,23
E:\0.TA_Teguh\dataset3\C\Jalan24.csv,25393,22657,664,180,0.6903416483245384,0.0,C,24
E:\0.TA_Teguh\dataset3\C\Jalan25.csv,3772,3063,134,57,0.5473554446820312,0.0,C,25
E:\0.TA_Teguh\dataset3\C\Jalan26.csv,7483,6908,153,36,0.724735482346424,0.0,C,26
E:\0.TA_Teguh\dataset3\C\Jalan27.csv,6355,5313,123,36,0.6667251124268011,0.0,C,27
E:\0.TA_Teguh\dataset3\C\Jalan28.csv,942,461,93,72,0.2113229512275551,0.0,C,28
E:\0.TA_Teguh\dataset3\C\Jalan29.csv,1389,746,117,91,0.21109775749727006,0.0,C,29
E:\0.TA_Teguh\dataset3\C\Jalan30.csv,2342,1444,131,73,0.40968673768359554,0.0,C,30
E:\0.TA_Teguh\dataset3\C\Jalan31.csv,3938,2415,136,71,0.44760196410513053,0.0,C,31
E:\0.TA_Teguh\dataset3\C\Jalan32.csv,4713,4368,104,32,0.6533088162355157,0.0,C,32
E:\0.TA_Teguh\dataset3\C\Jalan33.csv,4802,3849,122,51,0.5427951378367888,0.0,C,33
E:\0.TA_Teguh\dataset3\C\Jalan34.csv,3835,2941,136,70,0.45407561251914574,0.0,C,34
E:\0.TA_Teguh\dataset3\C\Jalan35.csv,3030,2514,120,51,0.5409452744634639,0.0,C,35
E:\0.TA_Teguh\dataset3\C\Jalan36.csv,5084,4457,140,56,0.5677436127499994,0.0,C,36
E:\0.TA_Teguh\dataset3\C\Jalan37.csv,4794,4082,125,35,0.6813168281854881,0.0,C,37
E:\0.TA_Teguh\dataset3\C\Jalan38.csv,2855,2254,132,76,0.4003631924809088,0.0,C,38
E:\0.TA_Teguh\dataset3\C\Jalan39.csv,8928,7397,278,90,0.6379672415135492,0.0,C,39
E:\0.TA_Teguh\dataset3\C\Jalan40.csv,10908,9855,260,52,0.7531056172484829,0.0,C,40
E:\0.TA_Teguh\dataset3\C\Jalan41.csv,9820,8992,205,21,0.8445753843285957,0.0,C,41
E:\0.TA_Teguh\dataset3\C\Jalan42.csv,8401,7856,144,8,0.889873425319499,0.0,C,42
E:\0.TA_Teguh\dataset3\C\Jalan43.csv,9929,8557,263,71,0.6936167096139861,0.0,C,43
E:\0.TA_Teguh\dataset3\C\Jalan44.csv,12201,11137,265,43,0.7903588415453383,0.0,C,44
E:\0.TA_Teguh\dataset3\C\Jalan45.csv,9976,9131,210,22,0.8366948603038609,0.0,C,45
