timestamp,frame,x,y,z,doppler,SNR,w_snr,d2,is_inlier
17:55:14.032618,14,-2.4466271,0.9262844,0.8813127,-0.41748002,7.52,0.752,3.976551,1
17:55:14.032618,14,-2.3047328,1.0375836,0.9983867,-0.48720002,7.7599998,0.77599996,2.7651997,1
17:55:14.032618,14,-2.358351,1.0617224,0.9750848,-0.41748002,8.5199995,0.852,2.8207552,1
17:55:14.032618,14,-2.410004,0.99665684,0.8624565,-0.41748002,7.0,0.7,3.0713284,1
17:55:14.032618,14,-2.2783713,0.9965981,0.90117425,-0.48720002,7.24,0.724,4.7110157,1
17:55:14.032618,14,-2.3320649,1.1070298,0.9629447,-0.41748002,7.7599998,0.77599996,3.9218805,1
17:55:14.032618,14,-2.3843813,1.0429686,0.8500473,-0.41748002,6.3599997,0.636,2.8512986,1
17:55:14.032618,14,-2.2529767,1.040369,0.8894459,-0.48720002,6.64,0.664,5.160382,1
17:55:14.032618,14,-2.3053908,1.0645726,0.86360955,-0.41748002,7.12,0.712,1.9700747,1
17:55:14.032618,14,-2.3578048,1.0887761,0.8377732,-0.41748002,5.8799996,0.588,2.935373,1
17:55:14.032618,14,-2.2266808,1.0836407,0.8778513,-0.48720002,6.12,0.612,6.035242,1
17:55:14.032618,14,-2.2784832,1.1088508,0.8517452,-0.41748002,6.52,0.652,2.6085777,1
17:55:14.032618,14,-2.3302855,1.1340611,0.8256391,-0.41748002,5.3599997,0.536,3.3258455,1
17:55:14.032618,14,-2.383694,1.0159162,0.9873585,-0.41748002,9.36,0.936,2.0050683,1
17:55:14.032618,14,-2.3294995,0.9928189,1.0103813,-0.48720002,8.36,0.83599997,1.8689039,1
17:55:14.032618,14,-2.4199173,0.946312,1.0060089,-0.41748002,10.24,1.0,1.3225118,1
17:55:14.032618,14,-2.4933364,0.6193417,1.1104543,-0.48720002,10.5199995,1.0,8.267164,1
17:55:14.032618,14,-2.4698215,0.87879354,0.89403784,-0.41748002,8.12,0.812,4.9734645,1
17:55:14.032618,14,-2.4959173,0.7800525,1.050558,-0.41748002,12.759999,1.0,2.4221246,1
17:55:14.032618,14,-2.4754353,0.8280737,1.0376908,-0.41748002,12.0,1.0,1.6991531,1
17:55:14.032618,14,-2.387319,0.8788927,1.0409077,-0.48720002,9.36,0.936,1.1739876,1
17:55:14.032618,14,-2.4428585,0.8993396,1.0185951,-0.41748002,11.12,1.0,1.2384962,1
17:55:14.032618,14,-2.3648994,0.9247972,1.0286077,-0.48720002,8.88,0.88799995,1.1827047,1
17:55:14.032618,14,-2.4191551,0.8092471,1.0595692,-0.48720002,9.88,0.988,1.8627566,1
17:55:14.032618,14,-2.2529767,1.040369,0.8894459,-0.48720002,6.64,0.664,5.160382,1
17:55:14.032618,14,-2.3053908,1.0645726,0.86360955,-0.41748002,7.12,0.712,1.9700747,1
17:55:14.032618,14,-2.4959173,0.7800525,1.050558,-0.41748002,12.759999,1.0,2.4221246,1
17:55:14.032618,14,-2.4959173,0.7800525,1.050558,-0.41748002,12.759999,1.0,2.4221246,1
17:55:14.032618,14,-2.383694,1.0159162,0.9873585,-0.41748002,9.36,0.936,2.0050683,1
17:55:14.032618,14,-2.4754353,0.8280737,1.0376908,-0.41748002,12.0,1.0,1.6991531,1
17:55:14.032618,14,-2.3047328,1.0375836,0.9983867,-0.48720002,7.7599998,0.77599996,2.7651997,1
17:55:14.032618,14,-2.4754353,0.8280737,1.0376908,-0.41748002,12.0,1.0,1.6991531,1
17:55:14.032618,14,-2.4754353,0.8280737,1.0376908,-0.41748002,12.0,1.0,1.6991531,1
17:55:14.032618,14,-2.4933364,0.6193417,1.1104543,-0.48720002,10.5199995,1.0,8.267164,1
17:55:14.032618,14,-2.3294995,0.9928189,1.0103813,-0.48720002,8.36,0.83599997,1.8689039,1
17:55:14.032618,14,-2.4191551,0.8092471,1.0595692,-0.48720002,9.88,0.988,1.8627566,1
17:55:14.032618,14,-2.4754353,0.8280737,1.0376908,-0.41748002,12.0,1.0,1.6991531,1
17:55:14.032618,14,-2.3294995,0.9928189,1.0103813,-0.48720002,8.36,0.83599997,1.8689039,1
17:55:14.032618,14,-2.2784832,1.1088508,0.8517452,-0.41748002,6.52,0.652,2.6085777,1
17:55:14.032618,14,-2.3320649,1.1070298,0.9629447,-0.41748002,7.7599998,0.77599996,3.9218805,1
17:55:14.032618,14,-2.2266808,1.0836407,0.8778513,-0.48720002,6.12,0.612,6.035242,1
17:55:14.032618,14,-2.2266808,1.0836407,0.8778513,-0.48720002,6.12,0.612,6.035242,1
17:55:14.032618,14,-2.4428585,0.8993396,1.0185951,-0.41748002,11.12,1.0,1.2384962,1
17:55:14.032618,14,-2.2784832,1.1088508,0.8517452,-0.41748002,6.52,0.652,2.6085777,1
17:55:14.032618,14,-2.4199173,0.946312,1.0060089,-0.41748002,10.24,1.0,1.3225118,1
17:55:14.032618,14,-2.4199173,0.946312,1.0060089,-0.41748002,10.24,1.0,1.3225118,1
17:55:14.032618,14,-2.358351,1.0617224,0.9750848,-0.41748002,8.5199995,0.852,2.8207552,1
17:55:14.032618,14,-2.3320649,1.1070298,0.9629447,-0.41748002,7.7599998,0.77599996,3.9218805,1
