timestamp,frame,cx,cy,cz,v_walk,step_event,step_time,step_length,step_count,cadence_spm
1762771573.060241,1,0.012212,4.015023,1.434660,,0,,,0,0.000000
1762771573.114968,2,0.984175,5.979629,-0.422337,40.051496,0,,,0,0.000000
1762771573.179401,3,0.039967,5.284299,0.803983,18.198731,0,,,0,0.000000
1762771573.219090,4,-0.253048,3.206410,1.771303,52.872495,0,,,0,0.000000
1762771573.264333,5,-2.011093,3.027080,7.551295,39.059873,0,,,0,0.000000
1762771573.326429,6,-2.823470,1.892279,1.010245,22.475014,0,,,0,0.000000
1762771573.389597,7,-3.097350,1.472941,-0.045150,7.928829,0,,,0,0.000000
1762771573.444991,8,-0.128979,3.191310,1.839107,61.918363,0,,,0,0.000000
1762771573.500933,9,-0.037127,2.627930,0.464536,10.203783,0,,,0,0.000000
1762771573.553438,10,0.410600,3.913153,0.662811,25.920542,0,,,0,0.000000
1762771573.595752,11,-0.338324,1.424290,1.953558,61.425459,0,,,0,0.000000
1762771573.658671,12,-0.528746,1.275016,2.791287,3.845490,0,,,0,0.000000
1762771573.711616,13,-0.928860,1.710569,0.558807,11.170903,0,,,0,0.000000
1762771573.770922,14,0.139437,6.186763,0.542527,77.595839,0,,,0,0.000000
1762771573.817654,15,-0.387804,1.382384,3.513970,103.422794,0,,,0,0.000000
1762771573.881261,16,-0.261906,3.175829,1.767150,28.265214,0,,,0,0.000000
1762771573.939277,17,-0.156206,3.228423,0.597030,2.035005,0,,,0,0.000000
1762771573.992684,18,-0.279015,3.206410,0.111977,2.336148,0,,,0,0.000000
1762771574.040519,19,0.049052,0.266616,0.408705,61.838013,0,,,0,0.000000
1762771574.106401,20,-0.439114,1.708039,2.150544,23.099616,0,,,0,0.000000
1762771574.153006,21,0.083793,5.082181,1.363750,73.263539,0,,,0,0.000000
1762771574.215344,22,-0.331857,3.109501,1.767150,32.339669,0,,,0,0.000000
1762771574.262941,23,-0.000812,4.069292,1.548009,21.330644,0,,,0,0.000000
1762771574.313039,24,-0.248084,1.043415,2.103506,60.599976,0,,,0,0.000000
