timestamp,frame,cx,cy,cz,v_walk,step_event,step_time,step_length,step_count,cadence_spm
1762771718.387283,66,-0.046853,0.178576,1.811517,49.273575,0,,,5,88.349478
1762771718.443590,67,0.837277,3.211430,0.587224,56.105029,0,,,5,86.908341
1762771718.500177,68,4.682589,4.086323,0.252031,69.690389,0,,,5,85.506630
1762771718.546199,69,1.437363,2.984075,0.615567,74.471580,0,,,5,84.399544
1762771718.610456,70,0.044203,0.203749,2.037675,48.396613,0,,,5,82.900891
1762771718.657412,71,0.078964,0.238688,2.028313,1.049611,0,,,5,81.838982
1762771718.721096,72,1.331158,6.016059,0.308896,92.825412,0,,,5,80.441484
1762771718.775543,73,1.281154,6.016059,1.806965,0.918393,0,,,5,79.283988
1762771718.833004,74,0.162783,5.449064,0.677432,21.821647,0,,,5,78.098012
1762771718.881624,75,0.027104,2.822269,0.342002,54.099087,0,,,5,77.121875
1762771718.932799,76,0.576268,3.125775,1.911290,12.261068,0,,,5,76.120468
1762771719.001699,77,-1.426983,3.294961,1.600702,29.178031,0,,,5,74.812559
1762771719.040027,78,1.327825,1.572862,0.291617,84.763876,0,,,5,74.104276
1762771719.103581,79,1.378654,6.500709,1.252799,77.541435,0,,,5,72.958903
1762771719.150910,80,0.738403,0.648932,0.836896,124.377771,0,,,5,72.128682
1762771719.213938,81,-0.146936,0.588506,1.806644,14.079458,0,,,5,71.051980
1762771719.261311,82,0.148984,1.286494,0.134353,16.003485,0,,,5,70.263642
1762771719.325343,83,0.000000,2.743463,2.116513,22.872388,0,,,5,69.225461
1762771719.377660,84,-0.555993,0.443212,1.488084,45.233994,0,,,5,68.399729
1762771719.436268,85,1.324548,0.412319,1.485638,32.090676,0,,,5,67.497774
1762771719.491806,86,1.400556,0.450432,0.986918,1.531000,0,,,5,66.664763
1762771719.545294,87,0.626009,0.453690,1.477823,14.480817,0,,,5,65.881697
1762771719.603003,88,1.336234,0.558706,1.263221,12.440922,0,,,5,65.057220
1762771719.657576,89,1.467618,0.621508,1.487969,2.668386,0,,,5,64.296300
1762771719.704000,90,1.407289,0.667713,1.440207,1.636856,0,,,5,63.662873
1762771719.768617,91,1.522163,0.740957,1.393952,2.108394,0,,,5,62.801715
1762771719.815922,92,1.517862,0.668842,1.355910,1.527174,0,,,5,62.185897
1762771719.864566,93,1.433563,0.501459,1.364671,3.852763,0,,,5,61.565126
1762771719.928165,94,1.419262,0.503247,1.330206,0.226603,0,,,5,60.771951
1762771719.978613,95,1.364656,0.736628,1.555189,4.751154,0,,,5,60.157183
1762771720.042869,96,0.189836,0.636882,1.221160,18.349149,0,,,5,59.391924
1762771720.092882,97,1.561381,0.605028,1.332767,27.431113,0,,,5,58.809636
1762771720.154414,98,1.422051,0.766174,1.548636,3.462059,0,,,5,58.108714
1762771720.203503,99,1.582362,0.751617,1.376109,3.279167,0,,,5,57.561401
1762771720.313787,100,1.355599,0.921107,1.615914,2.567050,0,,,5,56.368619
1762771720.318252,101,1.419319,0.950203,-0.189359,15.691484,0,,,5,56.321377
1762771720.372954,102,1.440070,0.918295,1.521011,0.695807,1,2.319885,1.614193,6,66.898618
1762771720.419985,103,1.283630,0.794128,1.597507,4.246777,0,,,6,66.319016
1762771720.483221,104,1.458333,0.836590,1.328551,2.843138,0,,,6,65.555342
1762771720.531370,105,1.467670,0.971162,1.379826,2.801632,0,,,6,64.985558
1762771720.595171,106,1.381532,0.999509,1.231680,1.421335,0,,,6,64.245633
1762771720.642967,107,1.461771,0.929700,1.516260,2.225225,0,,,6,63.702278
1762771720.700624,108,1.419192,1.063894,-0.186697,2.441810,0,,,6,63.058923
1762771720.754099,109,1.344732,1.079789,1.639589,1.423778,1,0.381144,0.542665,7,72.886027
1762771720.802730,110,1.367525,1.073420,1.484509,0.486640,0,,,7,72.276060
1762771720.869008,111,1.355218,1.193547,1.461962,1.821957,0,,,7,71.461008
1762771720.916671,112,1.399595,1.074530,1.383523,2.665008,0,,,7,70.886151
1762771720.979635,113,1.294157,1.015358,1.338091,1.920246,0,,,7,70.140773
1762771721.033573,114,1.242730,1.075865,1.344524,1.472241,0,,,7,69.514610
1762771721.088618,115,1.218536,1.223373,-0.316927,2.715547,0,,,7,68.887004
1762771721.136490,116,1.312603,1.001906,0.852801,5.026307,0,,,7,68.350338
1762771721.200445,117,1.160314,1.034505,1.142621,2.435128,1,0.446347,1.086911,8,77.310025
1762771721.248425,118,1.159662,1.058213,1.278654,0.494308,0,,,8,76.717176
1762771721.305807,119,1.185517,0.981835,1.370168,1.405226,0,,,8,76.019973
1762771721.363348,120,1.188452,0.988907,1.330654,0.133071,0,,,8,75.333465
1762771721.407128,121,1.115662,0.942030,1.244610,1.977569,0,,,8,74.819375
1762771721.470664,122,1.121088,1.054714,1.150020,1.775592,0,,,8,74.085659
1762771721.529395,123,1.024004,1.077611,1.327862,1.698382,0,,,8,73.420116
1762771721.584469,124,1.110351,1.201131,1.394502,2.736461,0,,,8,72.806786
1762771721.629301,125,1.073181,0.986401,1.176918,4.860958,0,,,8,72.315041
1762771721.692685,126,1.048635,1.416196,-0.292138,6.791820,0,,,8,71.631019
1762771721.739387,127,0.964053,1.294963,1.135007,3.165241,1,0.538942,1.705880,9,80.027156
1762771721.803311,128,1.223503,1.392937,1.512015,4.338424,0,,,9,79.276132
