file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan26.csv,B,56,84,48,35,1,0,1750,796,0
Jalan27.csv,B,56,80,52,26,2,0,1717,720,0
Jalan28.csv,B,56,59,1,58,0,0,9,2666,0
Jalan29.csv,B,56,70,2,68,0,0,24,2369,0
Jalan3.csv,B,56,98,71,27,0,0,2114,665,0
Jalan30.csv,B,56,73,13,59,1,0,172,1966,0
Jalan31.csv,B,56,77,22,54,1,0,331,1336,0
Jalan32.csv,B,56,66,30,35,1,0,592,1286,0
Jalan33.csv,B,56,73,25,45,3,0,830,1612,0
Jalan34.csv,B,56,71,25,46,0,0,462,1483,0
Jalan35.csv,B,56,71,14,57,0,0,157,1483,0
Jalan36.csv,B,56,74,16,58,0,0,241,1662,0
Jalan37.csv,B,56,85,30,55,0,0,582,1607,0
Jalan38.csv,B,56,77,24,53,0,0,417,1733,0
Jalan39.csv,B,56,237,49,183,5,0,800,6142,0
Jalan4.csv,B,56,67,0,67,0,0,0,2956,0
Jalan40.csv,B,56,217,51,166,0,0,1276,5425,0
Jalan41.csv,B,56,192,79,113,0,0,1982,2891,0
Jalan42.csv,B,56,146,79,65,2,0,2369,1276,0
Jalan43.csv,B,56,218,36,181,1,0,646,6638,0
Jalan44.csv,B,56,202,63,137,2,0,1677,3891,0
Jalan45.csv,B,56,185,89,94,2,0,2095,2278,0
Jalan46.csv,B,56,155,125,28,2,0,5039,410,0
Jalan47.csv,B,56,370,99,264,7,0,2100,7792,0
Jalan48.csv,B,56,402,135,266,1,0,4150,8011,0
Jalan49.csv,B,56,86,5,81,0,0,20,2602,0
Jalan5.csv,B,56,78,1,77,0,0,10,2730,0
Jalan50.csv,B,56,116,72,42,2,0,2091,1069,0
Jalan51.csv,B,56,116,68,46,2,0,1615,1167,0
Jalan52.csv,B,56,85,0,85,0,0,0,3681,0
Jalan53.csv,B,56,72,0,72,0,0,0,2942,0
Jalan54.csv,B,56,106,8,97,1,0,61,2983,0
Jalan55.csv,B,56,110,42,66,2,0,789,2182,0
Jalan56.csv,B,56,95,36,59,0,0,835,1722,0
Jalan57.csv,B,56,104,45,56,3,0,1731,1657,0
Jalan58.csv,B,56,116,40,76,0,0,729,2432,0
Jalan59.csv,B,56,106,21,84,1,0,285,2093,0
Jalan6.csv,B,56,95,6,87,2,0,40,2708,0
Jalan60.csv,B,56,105,22,83,0,0,309,2492,0
Jalan61.csv,B,56,125,40,85,0,0,800,2500,0
Jalan62.csv,B,56,120,40,79,1,0,851,2275,0
Jalan63.csv,B,56,337,61,270,6,0,912,9064,0
Jalan64.csv,B,56,304,73,227,4,0,1500,6947,0
Jalan65.csv,B,56,244,100,141,3,0,2279,3509,0
Jalan66.csv,B,56,208,95,112,1,0,2994,2659,0
Jalan67.csv,B,56,353,58,293,2,0,1306,10147,0
Jalan68.csv,B,56,276,82,194,0,0,1728,5983,0
Jalan69.csv,B,56,259,97,159,3,0,2250,4062,0
Jalan7.csv,B,56,93,41,52,0,0,810,1385,0
Jalan70.csv,B,56,216,120,93,3,0,2990,2003,0
Jalan71.csv,B,56,520,112,405,3,0,2143,12049,0
Jalan72.csv,B,56,515,137,374,4,0,4368,11657,0
Jalan8.csv,B,56,78,19,57,2,0,290,1561,0
Jalan9.csv,B,56,96,39,56,1,0,1122,1764,0
Jalan1.csv,C,56,130,26,101,3,0,304,3150,0
Jalan10.csv,C,56,114,38,75,1,0,814,2395,0
Jalan11.csv,C,56,110,44,65,1,0,1167,2085,0
Jalan12.csv,C,56,124,36,84,4,0,810,2573,0
Jalan13.csv,C,56,139,47,90,2,0,822,2321,0
Jalan14.csv,C,56,119,21,98,0,0,374,3013,0
Jalan15.csv,C,56,361,57,300,4,0,829,9272,0
Jalan16.csv,C,56,333,99,230,4,0,2006,6777,0
Jalan17.csv,C,56,305,103,198,4,0,2028,4956,0
Jalan18.csv,C,56,224,97,124,3,0,2395,3223,0
Jalan19.csv,C,56,326,69,256,1,0,1133,7591,0
Jalan2.csv,C,56,128,60,66,2,0,1402,1560,0
Jalan20.csv,C,56,302,50,252,0,0,1228,7266,0
Jalan21.csv,C,56,261,110,146,5,0,2721,3675,0
Jalan22.csv,C,56,224,121,100,3,0,3297,2380,0
Jalan23.csv,C,56,519,79,433,7,0,1196,13903,0
Jalan24.csv,C,56,576,138,435,3,0,3723,12321,0
Jalan25.csv,C,56,90,13,75,2,0,218,2041,0
Jalan26.csv,C,56,127,59,68,0,0,1535,1533,0
Jalan27.csv,C,56,94,45,49,0,0,1321,1147,0
Jalan28.csv,C,56,64,0,64,0,0,0,2849,0
Jalan29.csv,C,56,60,0,59,1,0,0,2398,0
Jalan3.csv,C,56,147,82,60,5,0,2468,1272,0
Jalan30.csv,C,56,77,2,75,0,0,9,2708,0
Jalan31.csv,C,56,95,13,82,0,0,104,2754,0
Jalan32.csv,C,56,80,35,44,1,0,1183,1171,0
Jalan33.csv,C,56,85,31,54,0,0,914,1673,0
Jalan34.csv,C,56,88,21,67,0,0,439,2220,0
Jalan35.csv,C,56,88,8,79,1,0,96,2337,0
Jalan36.csv,C,56,102,31,71,0,0,1098,2156,0
Jalan37.csv,C,56,94,26,67,1,0,434,1528,0
Jalan38.csv,C,56,78,12,63,3,0,178,2120,0
Jalan39.csv,C,56,241,47,189,5,0,685,6331,0
Jalan4.csv,C,56,80,1,79,0,0,8,3332,0
Jalan40.csv,C,56,247,73,171,3,0,1561,5069,0
Jalan41.csv,C,56,200,70,129,1,0,1270,3191,0
Jalan42.csv,C,56,144,73,67,4,0,1533,1548,0
Jalan43.csv,C,56,237,59,176,2,0,1263,5530,0
Jalan44.csv,C,56,251,88,161,2,0,1747,4272,0
Jalan45.csv,C,56,206,68,137,1,0,1475,3587,0
Jalan46.csv,C,56,198,96,97,5,0,2489,2463,0
Jalan47.csv,C,56,395,61,333,1,0,927,11267,0
Jalan48.csv,C,56,429,95,326,8,0,2835,9878,0
Jalan49.csv,C,56,122,28,93,1,0,431,2606,0
Jalan5.csv,C,56,65,0,65,0,0,0,2515,0
Jalan50.csv,C,56,155,62,90,3,0,1453,2450,0
Jalan51.csv,C,56,140,89,49,2,0,2369,1213,0
Jalan52.csv,C,56,87,0,87,0,0,0,3454,0
Jalan53.csv,C,56,78,0,78,0,0,0,2925,0
Jalan54.csv,C,56,111,6,105,0,0,24,3713,0
Jalan55.csv,C,56,126,41,79,6,0,596,2234,0
Jalan56.csv,C,56,109,37,72,0,0,790,2315,0
Jalan57.csv,C,56,124,58,65,1,0,1840,2165,0
Jalan58.csv,C,56,125,35,90,0,0,945,2639,0
Jalan59.csv,C,56,129,24,105,0,0,246,3036,0
Jalan6.csv,C,56,93,3,90,0,0,10,2966,0
Jalan60.csv,C,56,147,35,111,1,0,938,3293,0
Jalan61.csv,C,56,129,45,81,3,0,790,2292,0
Jalan62.csv,C,56,115,15,98,2,0,166,3040,0
Jalan63.csv,C,56,351,59,289,3,0,725,8984,0
Jalan64.csv,C,56,333,73,258,2,0,1328,7637,0
Jalan65.csv,C,56,279,81,195,3,0,1263,5317,0
Jalan66.csv,C,56,230,91,135,4,0,1625,3433,0
Jalan67.csv,C,56,280,45,233,2,0,421,6940,0
Jalan68.csv,C,56,278,55,221,2,0,722,6669,0
Jalan69.csv,C,56,257,72,182,3,0,1326,5022,0
Jalan7.csv,C,56,138,18,118,2,0,209,3464,0
Jalan70.csv,C,56,226,90,132,4,0,1895,3248,0
Jalan71.csv,C,56,557,107,443,7,0,1377,13707,0
Jalan72.csv,C,56,601,211,381,9,0,5869,10812,0
Jalan8.csv,C,56,109,37,71,1,0,966,2119,0
Jalan9.csv,C,56,104,21,83,0,0,167,2120,0
Jalan1.csv,D,56,91,19,70,2,0,321,2116,0
Jalan10.csv,D,56,90,27,62,1,0,620,1943,0
Jalan11.csv,D,56,96,22,72,2,0,209,1991,0
Jalan12.csv,D,56,112,32,80,0,0,990,2138,0
Jalan13.csv,D,56,115,33,81,1,0,530,2153,0
Jalan14.csv,D,56,96,20,73,3,0,411,2323,0
Jalan15.csv,D,56,274,31,241,2,0,435,8035,0
Jalan16.csv,D,56,271,77,190,4,0,1482,5505,0
Jalan17.csv,D,56,237,74,159,4,0,1557,4594,0
Jalan18.csv,D,56,186,76,106,4,0,1796,2640,0
Jalan19.csv,D,56,264,47,215,2,0,680,6696,0
Jalan2.csv,D,56,101,60,40,1,0,1712,864,0
Jalan20.csv,D,56,268,57,208,3,0,1303,6025,0
Jalan21.csv,D,56,251,111,136,4,0,2937,3443,0
Jalan22.csv,D,56,202,93,104,5,0,1937,2178,0
Jalan23.csv,D,56,454,120,330,4,0,2360,8967,0
Jalan24.csv,D,56,465,145,313,7,0,4260,8630,0
Jalan25.csv,D,56,73,10,61,2,0,124,1581,0
Jalan26.csv,D,56,93,51,42,0,0,1429,743,0
Jalan27.csv,D,56,83,35,48,0,0,1079,1176,0
Jalan28.csv,D,56,47,0,47,0,0,0,2126,0
Jalan29.csv,D,56,64,1,63,0,0,13,2279,0
Jalan3.csv,D,56,98,54,44,0,0,1973,1168,0
Jalan30.csv,D,56,76,1,73,2,0,1,2361,0
Jalan31.csv,D,56,71,26,43,2,0,424,1345,0
Jalan32.csv,D,56,55,26,29,0,0,640,1112,0
Jalan33.csv,D,56,63,18,44,1,0,682,1396,0
Jalan34.csv,D,56,71,20,50,1,0,297,1570,0
Jalan35.csv,D,56,77,19,56,2,0,195,1637,0
Jalan36.csv,D,56,72,21,51,0,0,420,1423,0
Jalan37.csv,D,56,86,28,56,2,0,553,1657,0
Jalan38.csv,D,56,71,14,57,0,0,421,1783,0
Jalan39.csv,D,56,218,34,183,1,0,549,5839,0
Jalan4.csv,D,56,71,0,71,0,0,0,3130,0
Jalan40.csv,D,56,189,55,132,2,0,1190,4262,0
Jalan41.csv,D,56,167,47,119,1,0,1102,3191,0
Jalan42.csv,D,56,149,71,76,2,0,2100,1730,0
Jalan43.csv,D,56,221,30,189,2,0,553,5843,0
Jalan44.csv,D,56,208,51,156,1,0,1344,4588,0
Jalan45.csv,D,56,190,65,122,3,0,1656,3010,0
Jalan46.csv,D,56,150,71,78,1,0,1981,1840,0
Jalan47.csv,D,56,341,88,252,1,0,1583,6931,0
Jalan48.csv,D,56,338,75,261,2,0,2270,8054,0
Jalan49.csv,D,56,104,21,82,1,0,340,2555,0
Jalan5.csv,D,56,67,2,65,0,0,13,2535,0
