timestamp,frame,x,y,z,doppler,SNR,w_snr,d2,is_inlier
17:20:48.298494,25,-2.1158524,1.0844586,1.1380484,-0.62636,6.24,0.624,3.5683947,1
17:20:48.298494,25,-2.28559,1.0298378,1.1241041,-0.41748002,8.88,0.88799995,1.045435,1
17:20:48.298494,25,-2.3294995,0.9928189,1.0103813,-0.48720002,8.0,0.79999995,2.8084538,1
17:20:48.298494,25,-2.1408393,1.0433407,1.149066,-0.62636,7.0,0.7,2.6629565,1
17:20:48.298494,25,-2.1943815,1.0694345,1.1277841,-0.55664,7.3599997,0.736,1.4548203,1
17:20:48.298494,25,-2.2479236,1.0955284,1.1065024,-0.41748002,7.8799996,0.788,2.5669796,1
17:20:48.298494,25,-2.2191157,1.0268021,1.1392075,-0.55664,8.24,0.824,0.6516152,1
17:20:48.298494,25,-2.3047328,1.0375836,0.9983867,-0.48720002,7.52,0.752,2.75528,1
17:20:48.298494,25,-2.1687696,1.1115807,1.1164912,-0.55664,6.52,0.652,2.6270256,1
17:20:48.298494,25,-2.2000425,1.0994462,0.99864465,-0.55664,6.3599997,0.636,2.2282512,1
17:20:48.298494,25,-2.2790442,1.081861,0.9865226,-0.48720002,7.0,0.7,3.0865626,1
17:20:48.298494,25,-2.095239,1.0470718,1.0463462,-0.62636,5.7599998,0.576,5.821439,1
17:20:48.298494,25,-2.14229,1.1532238,1.105333,-0.55664,5.8799996,0.588,4.150341,1
17:20:48.298494,25,-2.2529767,1.040369,0.8894459,-0.55664,6.52,0.652,6.989281,1
17:20:48.298494,25,-2.0696573,1.0873029,1.0355662,-0.62636,5.12,0.51199996,6.2372756,1
17:20:48.298494,25,-2.1149538,1.1943469,1.094314,-0.55664,5.24,0.524,6.008497,1
17:20:48.298494,25,-2.173181,1.1416897,0.9873255,-0.55664,5.7599998,0.576,3.050702,1
17:20:48.298494,25,-2.2266808,1.0836407,0.8778513,-0.55664,6.0,0.59999996,6.6428823,1
17:20:48.298494,25,-2.1767113,0.9807795,1.1658292,-0.62636,7.7599998,0.77599996,2.0429513,1
17:20:48.298494,25,-2.2260237,1.0566922,1.0101005,-0.55664,7.12,0.712,1.7737195,1
17:20:48.298494,25,-2.3648994,0.9247972,1.0286077,-0.48720002,8.5199995,0.852,3.6586797,1
17:20:48.298494,25,-2.3628645,0.9536621,1.2522832,-0.41748002,12.12,1.0,3.096395,1
17:20:48.298494,25,-2.2493176,1.0409869,1.2406077,-0.41748002,9.24,0.92399997,3.7652023,1
17:20:48.298494,25,-2.3279443,0.7312482,1.335325,-0.41748002,13.12,1.0,5.606865,1
17:20:48.298494,25,-2.30956,0.9854507,1.1359977,-0.41748002,9.88,0.988,0.49814975,1
17:20:48.298494,25,-2.4393518,0.79977727,1.3205882,-0.41748002,15.12,1.0,3.1731203,1
17:20:48.298494,25,-2.30055,0.7983149,1.3173546,-0.41748002,12.36,1.0,3.3194582,1
17:20:48.298494,25,-2.3622594,0.8265481,1.3244933,-0.41748002,14.639999,1.0,1.9851059,1
17:20:48.298494,25,-2.415623,0.83824646,1.2832087,-0.41748002,14.36,1.0,2.200482,1
17:20:48.298494,25,-2.4729059,0.7750956,1.1780722,-0.48720002,9.5199995,0.95199996,4.829036,1
17:20:48.298494,25,-2.2774217,0.79568666,1.2410039,-0.62636,11.36,1.0,4.7547345,1
17:20:48.298494,25,-2.3278847,0.8861803,1.2820879,-0.41748002,13.12,1.0,1.1264367,1
17:20:48.298494,25,-2.3846843,0.90780276,1.2645712,-0.41748002,13.24,1.0,2.4124565,1
17:20:48.298494,25,-2.3812501,0.78072774,1.3367709,-0.41748002,16.0,1.0,2.6160953,1
17:20:48.298494,25,-2.2425482,0.8526808,1.2001531,-0.62636,10.5199995,1.0,3.7018387,1
17:20:48.298494,25,-2.442955,0.84632623,1.158986,-0.48720002,9.5199995,0.95199996,3.111159,1
17:20:48.298494,25,-2.387319,0.8788927,1.0409077,-0.48720002,9.0,0.9,4.7748833,1
17:20:48.298494,25,-2.3377059,0.94970816,1.1724335,-0.41748002,11.0,1.0,0.5909417,1
17:20:48.298494,25,-2.2729075,0.997304,1.2523124,-0.41748002,10.5199995,1.0,2.5145695,1
17:20:48.298494,25,-2.1995397,0.9385068,1.1771561,-0.62636,8.639999,0.86399996,2.1491344,1
17:20:48.298494,25,-2.4217646,0.8933174,1.1463947,-0.48720002,9.24,0.92399997,2.5673697,1
17:20:48.298494,25,-2.3065848,0.9309473,1.2700927,-0.41748002,11.759999,1.0,1.3683937,1
17:20:48.298494,25,-2.2214882,0.8958015,1.188599,-0.62636,9.5199995,0.95199996,2.6947634,1
17:20:48.298494,25,-2.442955,0.84632623,1.158986,-0.48720002,9.5199995,0.95199996,3.111159,1
17:20:48.298494,25,-2.1408393,1.0433407,1.149066,-0.62636,7.0,0.7,2.6629565,1
17:20:48.298494,25,-2.3279443,0.7312482,1.335325,-0.41748002,13.12,1.0,5.606865,1
17:20:48.298494,25,-2.4729059,0.7750956,1.1780722,-0.48720002,9.5199995,0.95199996,4.829036,1
17:20:48.298494,25,-2.1995397,0.9385068,1.1771561,-0.62636,8.639999,0.86399996,2.1491344,1
17:20:48.571972,30,-2.120478,1.0935365,1.1611953,-0.13916,5.52,0.552,3.7982779,1
17:20:48.571972,30,-2.2000425,1.0994462,0.99864465,-0.13916,15.36,1.0,2.8122485,1
17:20:48.571972,30,-2.1687696,1.1115807,1.1164912,-0.13916,12.36,1.0,0.8351469,1
17:20:48.571972,30,-2.2260237,1.0566922,1.0101005,-0.13916,15.5199995,1.0,3.4614007,1
17:20:48.571972,30,-2.2790442,1.081861,0.9865226,-0.13916,6.7599998,0.676,2.720802,1
17:20:48.571972,30,-2.094588,1.1342522,1.1502855,-0.13916,5.12,0.51199996,4.4854975,1
17:20:48.571972,30,-2.14229,1.1532238,1.105333,-0.13916,11.5199995,1.0,1.6386608,1
17:20:48.571972,30,-2.252444,1.1256332,0.97479385,-0.13916,7.0,0.7,2.602793,1
17:20:48.571972,30,-2.1454506,1.1834058,0.9761477,-0.13916,14.0,1.0,2.8153012,1
17:20:48.571972,30,-2.173181,1.1416897,0.9873255,-0.13916,14.88,1.0,2.606998,1
17:20:48.571972,30,-2.224943,1.168883,0.96320516,-0.13916,7.12,0.712,2.8146172,1
17:20:48.571972,30,-2.1009676,1.2147084,1.0888581,-0.13916,9.639999,0.964,3.4589732,1
17:20:48.571972,30,-2.196552,1.2115928,0.95176107,-0.13916,7.24,0.724,3.3242924,1
17:20:48.571972,30,-2.1168618,1.2245779,0.96511567,-0.13916,12.88,1.0,3.4139667,1
17:20:48.571972,30,-2.1672823,1.2537456,0.9404663,-0.13916,7.24,0.724,4.107393,1
17:20:48.571972,30,-2.3047328,1.0375836,0.9983867,-0.13916,6.3599997,0.636,3.208118,1
17:20:48.571972,30,-2.1287282,1.1738514,1.0998058,-0.13916,10.5199995,1.0,2.166509,1
17:20:48.571972,30,-2.2479236,1.0955284,1.1065024,-0.13916,15.12,1.0,2.617799,1
17:20:48.571972,30,-2.2770474,0.9182054,1.1683059,-0.13916,13.12,1.0,2.2907016,1
17:20:48.571972,30,-2.1457832,1.0994449,1.236667,-0.13916,5.8799996,0.588,5.78863,1
17:20:48.571972,30,-2.1943815,1.0694345,1.1277841,-0.13916,13.0,1.0,0.3935124,1
17:20:48.571972,30,-2.2751043,0.8727407,1.3231943,-0.13916,6.8799996,0.68799996,4.451829,1
17:20:48.571972,30,-2.3343797,0.8155867,1.2220215,-0.13916,11.759999,1.0,5.0961337,1
17:20:48.571972,30,-2.3861213,0.826637,1.1785517,-0.13916,9.639999,0.964,4.2055535,1
17:20:48.571972,30,-2.3036592,0.88279176,1.204014,-0.13916,12.639999,1.0,2.2389328,1
17:20:48.571972,30,-2.3547199,0.8953317,1.1601449,-0.13916,10.88,1.0,2.191383,1
17:20:48.571972,30,-2.2174494,0.9729702,1.2705557,-0.13916,6.7599998,0.676,3.2313256,1
17:20:48.571972,30,-2.3326066,0.9406093,1.1480129,-0.13916,12.12,1.0,1.5455475,1
17:20:48.571972,30,-2.3580863,0.8182807,1.3002816,-0.13916,10.88,1.0,4.2656975,1
17:20:48.571972,30,-2.25455,0.96197873,1.1565769,-0.13916,13.5199995,1.0,1.1310925,1
17:20:48.571972,30,-2.30956,0.9854507,1.1359977,-0.13916,13.24,1.0,1.3738728,1
17:20:48.571972,30,-2.3645704,1.0089226,1.1154184,-0.13916,5.64,0.564,8.706396,1
17:20:48.571972,30,-2.1705432,1.0577509,1.2478389,-0.13916,6.24,0.624,4.5656853,1
